model,dataset,kind,attack,model_label,param_count,latency_ms,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
XceptionNet,Cifar10_epochs100_pretrain300,Control_Continuted,DeepFool,XceptionNet (Control Continued),20827442,21.89135904191062,0.8832,0.2367,0.2367,0.11680000000000001,0.7633,0.7633,0.6465,0.7319972826086957,0.2680027173913043
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,DeepFool,XceptionNet (Pruned Finetuned),11193490,43.242845113854855,0.8875,0.2405,0.2405,0.11250000000000004,0.7595000000000001,0.7595000000000001,0.647,0.7290140845070423,0.27098591549295775
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,DeepFool,XceptionNet (Pruned Finetuned Quantized),11193490,45.17885302193463,0.8861,0.2458,0.2458,0.1139,0.7542,0.7542,0.6403,0.7226046721588986,0.27739532784110144
