source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9911,0.8769,0.8203,0.8358,0.8924,0.9129,0.9278,0.8217,0.7971,0.7912
ConvNeXt (Original),0.9908,0.9488,0.8239,0.8397,0.8952,0.9161,0.9297,0.8251,0.7999,0.7958000000000001
InceptionNet (Finetuned),0.9911,0.8792,0.9218,0.8563000000000001,0.8984,0.9139,0.9291,0.8364,0.8109,0.8064
InceptionNet (Original),0.991,0.879,0.8396,0.928,0.8976,0.9151,0.9287,0.8351999999999999,0.8099000000000001,0.8062
MobileNet (Original),0.9908,0.8782,0.8267,0.8427,0.958,0.9183,0.9321,0.8323,0.8095,0.8022
RegNetX_400MF (Finetuned),0.9909,0.8808,0.8242,0.8408,0.8976999999999999,0.9679,0.9348,0.8275,0.8067,0.7988999999999999
RegNetX_400MF (Original),0.9911,0.882,0.8236,0.8398,0.8973,0.9277,0.9691,0.8260000000000001,0.8028,0.7978000000000001
VGG16 (Original),0.9911,0.8778,0.8251999999999999,0.8407,0.894,0.9123,0.9274,0.9567,0.8012,0.7979
XceptionNet (Finetuned),0.991,0.8789,0.8318,0.8454,0.8995,0.9159,0.9295,0.832,0.9297,0.8248
XceptionNet (Original),0.9912,0.8787,0.8351,0.8506,0.8989,0.9169,0.9303,0.8368,0.8399,0.9092
