source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9892,0.5897,0.4285,0.4545,0.5765,0.6025,0.6485000000000001,0.3256,0.4538,0.4014999999999999,0.411
InceptionNet (Finetuned),0.9893,0.8471,0.935,0.8011,0.8598,0.88,0.9033,0.6611,0.7816,0.7371,0.74
InceptionNet (Original),0.9891,0.8363,0.7544,0.9483,0.8493999999999999,0.8708,0.8924,0.6412,0.7679,0.7102999999999999,0.7195
MobileNet (Original),0.9901,0.8047,0.6703,0.7022999999999999,0.9608,0.85,0.8822,0.5628,0.6961999999999999,0.6339,0.6515
RegNetX_400MF (Finetuned),0.9893,0.8003,0.6593,0.6868000000000001,0.8132,0.9699,0.8899,0.5475,0.6803,0.6235999999999999,0.6363
RegNetX_400MF (Original),0.9891,0.786,0.6306,0.6572,0.7906,0.8327,0.9819,0.5179,0.6535,0.595,0.609
VGG16 (Finetuned),0.9897,0.852,0.7775,0.7992,0.8644000000000001,0.8861,0.905,0.8985,0.8275,0.7483,0.7563
VGG16 (Original),0.9894,0.8206,0.7187,0.7491,0.8307,0.8512,0.8775,0.6457999999999999,0.9496,0.6889000000000001,0.6959
XceptionNet (Finetuned),0.99,0.8517,0.7735,0.7928999999999999,0.8654,0.8848,0.9061,0.669,0.7888,0.9283,0.7726999999999999
XceptionNet (Original),0.9903,0.8452,0.7659,0.7885,0.8663,0.8858,0.906,0.6634,0.7834,0.7507,0.9276
