source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original)
ConvNeXt (Finetuned),0.8974,0.2812,0.1682,0.1791
ConvNeXt (Original),0.8827,0.8529,0.4675,0.4736
InceptionNet (Finetuned),0.8828,0.6404000000000001,0.8327,0.5684
InceptionNet (Original),0.8835999999999999,0.6367,0.5486,0.8278
