source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9889,0.9353,0.9356,0.9398,0.9736,0.9682,0.9768,0.9084,0.9637,0.9167,0.9242
ConvNeXt (Original),0.9893,0.9622,0.9379,0.9403,0.9741,0.9676,0.976,0.912,0.9641,0.9208,0.9268
InceptionNet (Finetuned),0.989,0.9354,0.9697,0.9451,0.9735,0.9689,0.9761,0.9137,0.9644,0.9206,0.9277
InceptionNet (Original),0.9891,0.9357,0.9419,0.9708,0.9738,0.9677,0.9767,0.9123,0.9635,0.9195,0.9263
MobileNet (Original),0.9889,0.9351,0.9362,0.939,0.9974,0.9686,0.977,0.9096,0.9641,0.9169,0.9234
RegNetX_400MF (Finetuned),0.9889,0.9345,0.9357,0.9392,0.9736,0.9903,0.9783,0.9105,0.9638,0.9172,0.924
RegNetX_400MF (Original),0.9889,0.9346,0.9353,0.9398,0.9728,0.9693,0.9952,0.9092,0.9641,0.9178,0.9246
VGG16 (Finetuned),0.9888,0.9363,0.9394,0.9419,0.9736,0.9685,0.9767,0.956,0.9638,0.9249,0.9316
VGG16 (Original),0.9889,0.9358,0.9364,0.9416,0.9741,0.968,0.9765,0.9165,0.9787,0.9205,0.9284
XceptionNet (Finetuned),0.9889,0.9355,0.9369,0.9399,0.9738,0.9674,0.9759,0.914,0.9642,0.974,0.9414
XceptionNet (Original),0.9888,0.9357,0.9378,0.9404,0.9728,0.9686,0.9755,0.9135,0.9646,0.938,0.9779
