model,dataset,kind,attack,model_label,param_count,latency_ms,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
InceptionNet,Cifar10_epochs100_pretrain300,Control_Continuted,CW,InceptionNet (Control Continued),5991082,21.429641300346702,0.8596,0.0152,0.0152,0.14039999999999997,0.9848,0.9848,0.8444,0.9823173569101908,0.017682643089809214
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,CW,InceptionNet (Pruned Finetuned),3809226,34.74210484419018,0.8633,0.0187,0.0187,0.13670000000000004,0.9813,0.9813,0.8445999999999999,0.9783389320050967,0.02166106799490328
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,CW,InceptionNet (Pruned Finetuned Quantized),3809226,37.022322963457555,0.862,0.0206,0.0206,0.138,0.9794,0.9794,0.8414,0.9761020881670535,0.023897911832946636
