model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
ConvNeXt,tinyimagenet_epochs100_pretrain300,Control_Continuted,BIM,ConvNeXt (Control Continued),27973928,0.0045,0.0017,0.0017,0.9955,0.9983,0.9983,0.0027999999999999995,0.6222222222222221,0.37777777777777777
ConvNeXt,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,ConvNeXt (Pruned Finetuned),8892008,0.0002,0.0,0.0,0.9998,1.0,1.0,0.0002,1.0,0.0
ConvNeXt,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,ConvNeXt (Pruned Finetuned Quantized),8892008,0.0001,0.0,0.0,0.9999,1.0,1.0,0.0001,1.0,0.0
