model,dataset,kind,attack,model_label,param_count,latency_ms,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
VGG16,Cifar100_epochs100_pretrain300,Control_Continuted,CW,VGG16 (Control Continued),34031780,145.28054578695446,0.6089,0.005,0.005,0.3911,0.995,0.995,0.6039,0.9917884710133027,0.008211528986697324
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,CW,VGG16 (Pruned Finetuned),22623396,24.673201562836766,0.6784,0.0036,0.0036,0.3216,0.9964,0.9964,0.6748,0.9946933962264151,0.005306603773584905
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,CW,VGG16 (Pruned Finetuned Quantized),22623396,28.83161250501871,0.6944,0.0032,0.0032,0.3056,0.9968,0.9968,0.6912,0.9953917050691244,0.004608294930875576
