source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9896,0.8858,0.8209,0.8403,0.8973,0.9158,0.9357,0.7762,0.8589,0.798,0.8012
ConvNeXt (Original),0.9895,0.9121,0.8262,0.8442000000000001,0.8988,0.9183,0.937,0.782,0.8593999999999999,0.8037,0.8071
InceptionNet (Finetuned),0.9888,0.8862,0.8424,0.8531,0.899,0.918,0.9363,0.7933,0.8638,0.8122,0.8150999999999999
InceptionNet (Original),0.9894,0.8863,0.8331,0.8649,0.8996999999999999,0.9173,0.9363,0.792,0.8654999999999999,0.808,0.8119000000000001
MobileNet (Original),0.9889,0.8851,0.8251999999999999,0.8441,0.9153,0.9192,0.9385,0.7894,0.8634,0.8069,0.8127
RegNetX_400MF (Finetuned),0.9892,0.8879,0.8240000000000001,0.8418,0.9007000000000001,0.9268,0.9409,0.7872,0.8609,0.8041,0.8113
RegNetX_400MF (Original),0.9885,0.8862,0.8249,0.8404,0.8988,0.9238,0.9486,0.7847,0.8583000000000001,0.8034,0.8079000000000001
VGG16 (Finetuned),0.9897,0.8854,0.8239,0.8419,0.8996999999999999,0.9168,0.9366,0.8251,0.8694999999999999,0.8002,0.8078
VGG16 (Original),0.9884,0.8857,0.8271,0.8452,0.9003,0.9177,0.9363,0.8160000000000001,0.8972,0.804,0.8096
XceptionNet (Finetuned),0.9888,0.8855999999999999,0.8311999999999999,0.848,0.9008,0.9174,0.9368,0.7888,0.8639,0.8322,0.8210999999999999
XceptionNet (Original),0.9889,0.8864,0.8291,0.8475,0.9022,0.9198,0.9375,0.794,0.8653,0.8207,0.8498
