source_model,source_kind,source_label,target_model,target_kind,target_label,dataset,gradient_similarity,same_architecture,same_kind,pair_type
RegNetX_400MF,Original,RegNetX_400MF (Original),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10,0.08720581419765949,True,False,same_arch_cross_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10,0.982477217912674,True,True,self_same_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10,0.014253854984417558,False,False,cross_arch_cross_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),InceptionNet,Original,InceptionNet (Original),Cifar10,0.02110220678150654,False,True,cross_arch_same_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),MobileNet,Original,MobileNet (Original),Cifar10,0.05459395423531532,False,True,cross_arch_same_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar10,0.01833632728084922,False,False,cross_arch_cross_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),XceptionNet,Original,XceptionNet (Original),Cifar10,0.03395491745322943,False,True,cross_arch_same_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar10,-0.0005357017216738313,False,False,cross_arch_cross_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),ConvNeXt,Original,ConvNeXt (Original),Cifar10,0.025926259346306324,False,True,cross_arch_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),VGG16,Finetuned,VGG16 (Finetuned),Cifar10,0.01646945532411337,False,True,cross_arch_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),VGG16,Original,VGG16 (Original),Cifar10,0.029246557503938675,False,False,cross_arch_cross_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10,0.030037048738449812,False,True,cross_arch_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10,0.014253854984417558,False,False,cross_arch_cross_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10,0.4903814271092415,True,True,self_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),InceptionNet,Original,InceptionNet (Original),Cifar10,0.08850687369704247,True,False,same_arch_cross_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),MobileNet,Original,MobileNet (Original),Cifar10,0.02396011259406805,False,False,cross_arch_cross_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar10,0.03777964226901531,False,True,cross_arch_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),XceptionNet,Original,XceptionNet (Original),Cifar10,0.04007593262940645,False,False,cross_arch_cross_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar10,0.0008753316506044939,False,True,cross_arch_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),ConvNeXt,Original,ConvNeXt (Original),Cifar10,0.027089024428278208,False,False,cross_arch_cross_kind
InceptionNet,Original,InceptionNet (Original),VGG16,Finetuned,VGG16 (Finetuned),Cifar10,0.015993056818842888,False,False,cross_arch_cross_kind
InceptionNet,Original,InceptionNet (Original),VGG16,Original,VGG16 (Original),Cifar10,0.030767906457185745,False,True,cross_arch_same_kind
InceptionNet,Original,InceptionNet (Original),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10,0.03552070539444685,False,False,cross_arch_cross_kind
InceptionNet,Original,InceptionNet (Original),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10,0.021102207247167826,False,True,cross_arch_same_kind
InceptionNet,Original,InceptionNet (Original),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10,0.08850687555968761,True,False,same_arch_cross_kind
InceptionNet,Original,InceptionNet (Original),InceptionNet,Original,InceptionNet (Original),Cifar10,0.8011979460716248,True,True,self_same_kind
InceptionNet,Original,InceptionNet (Original),MobileNet,Original,MobileNet (Original),Cifar10,0.03874083049595356,False,True,cross_arch_same_kind
InceptionNet,Original,InceptionNet (Original),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar10,0.0387833584100008,False,False,cross_arch_cross_kind
InceptionNet,Original,InceptionNet (Original),XceptionNet,Original,XceptionNet (Original),Cifar10,0.05120022874325514,False,True,cross_arch_same_kind
InceptionNet,Original,InceptionNet (Original),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar10,-0.0014348928380059078,False,False,cross_arch_cross_kind
InceptionNet,Original,InceptionNet (Original),ConvNeXt,Original,ConvNeXt (Original),Cifar10,0.035702462773770094,False,True,cross_arch_same_kind
MobileNet,Original,MobileNet (Original),VGG16,Finetuned,VGG16 (Finetuned),Cifar10,0.0063651197124272585,False,False,cross_arch_cross_kind
MobileNet,Original,MobileNet (Original),VGG16,Original,VGG16 (Original),Cifar10,0.010965542867779732,False,True,cross_arch_same_kind
MobileNet,Original,MobileNet (Original),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10,0.046303242444992065,False,False,cross_arch_cross_kind
MobileNet,Original,MobileNet (Original),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10,0.05459395423531532,False,True,cross_arch_same_kind
MobileNet,Original,MobileNet (Original),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10,0.023960113059729338,False,False,cross_arch_cross_kind
MobileNet,Original,MobileNet (Original),InceptionNet,Original,InceptionNet (Original),Cifar10,0.038740831427276134,False,True,cross_arch_same_kind
MobileNet,Original,MobileNet (Original),MobileNet,Original,MobileNet (Original),Cifar10,0.9774412959814072,True,True,self_same_kind
MobileNet,Original,MobileNet (Original),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar10,0.023864638525992632,False,False,cross_arch_cross_kind
MobileNet,Original,MobileNet (Original),XceptionNet,Original,XceptionNet (Original),Cifar10,0.04137505777180195,False,True,cross_arch_same_kind
MobileNet,Original,MobileNet (Original),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar10,-0.0017952797934412956,False,False,cross_arch_cross_kind
MobileNet,Original,MobileNet (Original),ConvNeXt,Original,ConvNeXt (Original),Cifar10,0.028818500228226185,False,True,cross_arch_same_kind
XceptionNet,Finetuned,XceptionNet (Finetuned),VGG16,Finetuned,VGG16 (Finetuned),Cifar10,0.01699086860753596,False,True,cross_arch_same_kind
XceptionNet,Finetuned,XceptionNet (Finetuned),VGG16,Original,VGG16 (Original),Cifar10,0.032848333939909935,False,False,cross_arch_cross_kind
XceptionNet,Finetuned,XceptionNet (Finetuned),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10,0.03356141597032547,False,True,cross_arch_same_kind
XceptionNet,Finetuned,XceptionNet (Finetuned),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10,0.01833632681518793,False,False,cross_arch_cross_kind
XceptionNet,Finetuned,XceptionNet (Finetuned),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10,0.03777964320033789,False,True,cross_arch_same_kind
XceptionNet,Finetuned,XceptionNet (Finetuned),InceptionNet,Original,InceptionNet (Original),Cifar10,0.03878335654735565,False,False,cross_arch_cross_kind
XceptionNet,Finetuned,XceptionNet (Finetuned),MobileNet,Original,MobileNet (Original),Cifar10,0.023864638060331345,False,False,cross_arch_cross_kind
XceptionNet,Finetuned,XceptionNet (Finetuned),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar10,0.3963165134191513,True,True,self_same_kind
XceptionNet,Finetuned,XceptionNet (Finetuned),XceptionNet,Original,XceptionNet (Original),Cifar10,0.07610121741890907,True,False,same_arch_cross_kind
XceptionNet,Finetuned,XceptionNet (Finetuned),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar10,-0.0009679832146503031,False,True,cross_arch_same_kind
XceptionNet,Finetuned,XceptionNet (Finetuned),ConvNeXt,Original,ConvNeXt (Original),Cifar10,0.0169070684351027,False,False,cross_arch_cross_kind
XceptionNet,Original,XceptionNet (Original),VGG16,Finetuned,VGG16 (Finetuned),Cifar10,0.017669332679361105,False,False,cross_arch_cross_kind
XceptionNet,Original,XceptionNet (Original),VGG16,Original,VGG16 (Original),Cifar10,0.0346858287230134,False,True,cross_arch_same_kind
XceptionNet,Original,XceptionNet (Original),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10,0.04693900980055332,False,False,cross_arch_cross_kind
XceptionNet,Original,XceptionNet (Original),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10,0.03395491931587458,False,True,cross_arch_same_kind
XceptionNet,Original,XceptionNet (Original),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10,0.04007593262940645,False,False,cross_arch_cross_kind
XceptionNet,Original,XceptionNet (Original),InceptionNet,Original,InceptionNet (Original),Cifar10,0.05120022967457771,False,True,cross_arch_same_kind
XceptionNet,Original,XceptionNet (Original),MobileNet,Original,MobileNet (Original),Cifar10,0.041375056840479374,False,True,cross_arch_same_kind
XceptionNet,Original,XceptionNet (Original),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar10,0.07610121741890907,True,False,same_arch_cross_kind
XceptionNet,Original,XceptionNet (Original),XceptionNet,Original,XceptionNet (Original),Cifar10,0.6408468782901764,True,True,self_same_kind
XceptionNet,Original,XceptionNet (Original),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar10,-0.00017572936485521495,False,False,cross_arch_cross_kind
XceptionNet,Original,XceptionNet (Original),ConvNeXt,Original,ConvNeXt (Original),Cifar10,0.02339255902916193,False,True,cross_arch_same_kind
ConvNeXt,Finetuned,ConvNeXt (Finetuned),VGG16,Finetuned,VGG16 (Finetuned),Cifar10,-0.000206673052161932,False,True,cross_arch_same_kind
ConvNeXt,Finetuned,ConvNeXt (Finetuned),VGG16,Original,VGG16 (Original),Cifar10,-0.0007364154662354849,False,False,cross_arch_cross_kind
ConvNeXt,Finetuned,ConvNeXt (Finetuned),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10,0.00013820153253618628,False,True,cross_arch_same_kind
ConvNeXt,Finetuned,ConvNeXt (Finetuned),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10,-0.0005357018089853227,False,False,cross_arch_cross_kind
ConvNeXt,Finetuned,ConvNeXt (Finetuned),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10,0.000875331177667249,False,True,cross_arch_same_kind
ConvNeXt,Finetuned,ConvNeXt (Finetuned),InceptionNet,Original,InceptionNet (Original),Cifar10,-0.0014348929980769753,False,False,cross_arch_cross_kind
ConvNeXt,Finetuned,ConvNeXt (Finetuned),MobileNet,Original,MobileNet (Original),Cifar10,-0.0017952799244085327,False,False,cross_arch_cross_kind
ConvNeXt,Finetuned,ConvNeXt (Finetuned),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar10,-0.000967983272857964,False,True,cross_arch_same_kind
ConvNeXt,Finetuned,ConvNeXt (Finetuned),XceptionNet,Original,XceptionNet (Original),Cifar10,-0.00017572936485521495,False,False,cross_arch_cross_kind
ConvNeXt,Finetuned,ConvNeXt (Finetuned),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar10,1.0,True,True,self_same_kind
ConvNeXt,Finetuned,ConvNeXt (Finetuned),ConvNeXt,Original,ConvNeXt (Original),Cifar10,-0.00428923788422253,True,False,same_arch_cross_kind
ConvNeXt,Original,ConvNeXt (Original),VGG16,Finetuned,VGG16 (Finetuned),Cifar10,0.004044545523356646,False,False,cross_arch_cross_kind
ConvNeXt,Original,ConvNeXt (Original),VGG16,Original,VGG16 (Original),Cifar10,0.00861677119974047,False,True,cross_arch_same_kind
ConvNeXt,Original,ConvNeXt (Original),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10,0.03136605862528086,False,False,cross_arch_cross_kind
ConvNeXt,Original,ConvNeXt (Original),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10,0.0259262602776289,False,True,cross_arch_same_kind
ConvNeXt,Original,ConvNeXt (Original),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10,0.02708902582526207,False,False,cross_arch_cross_kind
