source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9906,0.8825000000000001,0.8177,0.832,0.8842,0.9106,0.9293,0.8256,0.8015,0.8034
ConvNeXt (Original),0.9907,0.9967,0.8176,0.8314,0.8847,0.9101,0.9291,0.8257,0.8017,0.8038
InceptionNet (Finetuned),0.9901,0.8772,0.9525,0.8345,0.8813,0.9064,0.9229,0.8235,0.8014,0.8034
InceptionNet (Original),0.9906,0.8832,0.8223,0.9699,0.8868,0.9128,0.9296,0.831,0.8041,0.8069
MobileNet (Original),0.9905,0.8824,0.8188,0.8331999999999999,0.9802,0.9127,0.9302,0.8274,0.8027,0.8042
RegNetX_400MF (Finetuned),0.9906,0.8835,0.8181,0.8323,0.8861,0.9989,0.9352,0.8277,0.8028,0.8043
RegNetX_400MF (Original),0.9905,0.8823,0.8176,0.8321000000000001,0.8854,0.9135,0.9989,0.8260000000000001,0.8017,0.804
VGG16 (Original),0.9906,0.8828,0.8187,0.8331,0.8854,0.9112,0.9292,0.991,0.8021,0.8042
XceptionNet (Finetuned),0.9907,0.8832,0.8213,0.8359,0.8892,0.9137,0.9293,0.83,0.9963,0.8146
XceptionNet (Original),0.9908,0.8685,0.8085,0.8181,0.8721,0.8966,0.9112,0.8135,0.7994,0.9588
