source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9896,0.885,0.8220000000000001,0.839,0.8967,0.9148,0.9355,0.7757000000000001,0.8564,0.7979,0.8029
ConvNeXt (Original),0.9896,0.9527,0.8261000000000001,0.8431,0.8969,0.917,0.937,0.7776000000000001,0.8588,0.8027,0.8064
InceptionNet (Finetuned),0.9894,0.8879,0.9148,0.8625,0.902,0.9178,0.9377,0.7928,0.8664000000000001,0.8162,0.8204
InceptionNet (Original),0.9893,0.887,0.8395,0.9406,0.9003,0.9164,0.9368,0.7891,0.8683,0.8103,0.8149
MobileNet (Original),0.9896,0.8866,0.827,0.8425,0.9708,0.9197,0.9382,0.7832,0.8629,0.8062,0.8143
RegNetX_400MF (Finetuned),0.9898,0.8865,0.8253,0.8418,0.9034,0.9699,0.9453,0.7813,0.8594999999999999,0.8058,0.8109999999999999
RegNetX_400MF (Original),0.9897,0.888,0.8239,0.8414,0.9013,0.9283,0.9803,0.7821,0.8587,0.8028,0.8082
VGG16 (Finetuned),0.9892,0.8859,0.8256,0.8434,0.8989,0.9166,0.9362,0.9578,0.8864,0.8039000000000001,0.8096
VGG16 (Original),0.9895,0.8855999999999999,0.8266,0.8451,0.8992,0.9158,0.9367,0.8236,0.9698,0.8042,0.8093
XceptionNet (Finetuned),0.9894,0.8874,0.8358,0.8522000000000001,0.9049,0.9183,0.9375,0.7957,0.8681,0.9144,0.8409
XceptionNet (Original),0.9895,0.8872,0.8333,0.8519,0.9045,0.9205,0.9393,0.7934,0.8669,0.8328,0.9274
