source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9893,0.5895,0.4281,0.4533,0.5763,0.6036,0.6481,0.3241,0.4538,0.4018,0.4105999999999999
ConvNeXt (Original),0.9887,0.9714,0.6568,0.6812,0.7937,0.8221,0.8589,0.5465,0.6746,0.6211,0.6284000000000001
InceptionNet (Finetuned),0.9891,0.8281000000000001,0.9417,0.7977,0.8432,0.8582,0.8788,0.6536,0.7654,0.736,0.7404999999999999
InceptionNet (Original),0.9897,0.8268,0.7613,0.961,0.8411,0.8571,0.8778,0.6427,0.7646999999999999,0.7131000000000001,0.7249
MobileNet (Original),0.9898,0.8041,0.6727000000000001,0.7029000000000001,0.9863,0.8526,0.8795,0.5688,0.6987,0.6392,0.6585
RegNetX_400MF (Finetuned),0.9897,0.7968999999999999,0.6587000000000001,0.6843,0.8138,0.9868,0.889,0.5479,0.6803,0.6272,0.6396999999999999
RegNetX_400MF (Original),0.989,0.786,0.6307,0.6568,0.7922,0.8389,0.9917,0.5181,0.6526000000000001,0.5959,0.6104
VGG16 (Finetuned),0.9899,0.8448,0.7774,0.7982,0.8609,0.8794,0.8962,0.9762,0.8481,0.7527,0.7612
VGG16 (Original),0.9896,0.8173,0.7209,0.7516,0.8297,0.848,0.8712,0.6834,0.983,0.6920999999999999,0.6998
XceptionNet (Finetuned),0.9902,0.8348,0.774,0.7876,0.8501,0.8648,0.882,0.6725,0.7798,0.9409,0.7839
XceptionNet (Original),0.9898,0.8321000000000001,0.7705,0.7911,0.8583000000000001,0.8732,0.8887,0.6694,0.778,0.7708,0.9571
