source_model,source_kind,source_label,target_model,target_kind,target_label,dataset,same_architecture,same_kind,pair_type,source_total_shap,target_total_shap,delta_total_shap,delta_total_shap_abs,cosine_similarity,pearson_r,spearman_r,l1_mean_abs_diff,l2_distance,topk_ratio,topk_jaccard,topk_intersection,topk_union
VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),Cifar10_epochs100_pretrain300,True,True,self_same_kind,629.3355419969776,629.3355419969776,0.0,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,0.05,1.0,1536,1536
VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,True,False,same_arch_cross_kind,629.3355419969776,477.6476361707235,-151.68790582625405,177.45709072085248,0.9631167267137888,0.8008349938069549,0.8437005702749198,0.005776598005236083,1.3990192791441773,0.05,0.2452371301175517,605,2467
VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),Cifar10_epochs100_pretrain300,True,False,same_arch_cross_kind,477.6476361707235,629.3355419969776,151.68790582625405,177.45709072085248,0.9631167267137888,0.8008349938069549,0.8437005702749198,0.005776598005236083,1.3990192791441773,0.05,0.2452371301175517,605,2467
VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,True,True,self_same_kind,477.6476361707235,477.6476361707235,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.05,1.0,1536,1536
