source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9887,0.7907,0.73,0.7732,0.9179,0.9029,0.9287,0.7074,0.9174,0.6824,0.7376
ConvNeXt (Original),0.9888,0.8491,0.738,0.7789,0.9192,0.9036,0.9308,0.7147,0.9183,0.6917,0.7495
InceptionNet (Finetuned),0.989,0.7938000000000001,0.8349,0.7932,0.9192,0.9031,0.9301,0.7162999999999999,0.9188,0.6897,0.7471
InceptionNet (Original),0.9887,0.7948,0.7497,0.8619,0.9168,0.9025,0.931,0.7138,0.9184,0.6875,0.7434000000000001
MobileNet (Original),0.9888,0.7911,0.7317,0.7721,0.993,0.903,0.93,0.7078,0.9173,0.6835,0.7396
RegNetX_400MF (Finetuned),0.9885,0.7916,0.7322,0.7737,0.9183,0.9687,0.934,0.7088,0.9171,0.6849000000000001,0.7388
RegNetX_400MF (Original),0.9889,0.7906,0.7334,0.7743,0.9191,0.9049,0.9886,0.7083999999999999,0.9168,0.6844,0.7404
VGG16 (Finetuned),0.9887,0.7943,0.7376,0.7791,0.9161,0.9034,0.9292,0.8113,0.9201,0.6990000000000001,0.7524
VGG16 (Original),0.9884,0.7943,0.735,0.7783,0.9192,0.9035,0.9302,0.725,0.9373,0.6905,0.7445999999999999
XceptionNet (Finetuned),0.9886,0.7941,0.7347,0.7766,0.9184,0.9036,0.9303,0.7171000000000001,0.9184,0.8334,0.7778
XceptionNet (Original),0.9885,0.7942,0.7352000000000001,0.7761,0.9181,0.9034,0.9291,0.7179,0.919,0.7295,0.8699
