source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9907,0.8854,0.8186,0.833,0.8855,0.91,0.9287,0.8262,0.8016,0.8041
ConvNeXt (Original),0.9909,0.9524,0.8218,0.8369,0.8881,0.9126,0.9324,0.8305,0.8074,0.8089999999999999
InceptionNet (Finetuned),0.9907,0.8857,0.9121,0.8545,0.8927,0.9131,0.9312,0.8387,0.8203,0.8216
InceptionNet (Original),0.9905,0.8855,0.8356,0.9314,0.8911,0.9139,0.9297,0.838,0.8144,0.8165
MobileNet (Original),0.9909,0.8861,0.825,0.8389,0.96,0.9159,0.9335,0.8359,0.8136,0.8128
RegNetX_400MF (Finetuned),0.9909,0.8872,0.8229,0.8365,0.8935,0.9643,0.9405,0.8305,0.8116,0.8127
RegNetX_400MF (Original),0.9909,0.8877,0.8210999999999999,0.8352999999999999,0.8929,0.9243,0.9742,0.8297,0.8079000000000001,0.8098
VGG16 (Original),0.9912,0.8832,0.8238,0.8374,0.8883,0.9116,0.9297,0.9581,0.8092,0.8113
XceptionNet (Finetuned),0.9907,0.8857,0.8311999999999999,0.8444,0.8934,0.9164,0.9322,0.8392999999999999,0.9164,0.8401000000000001
XceptionNet (Original),0.9908,0.8866,0.8333,0.8466,0.8939,0.9151,0.9318,0.8397,0.84,0.9174
