source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9164,0.284,0.1722,0.1822,0.2563,0.2542999999999999,0.3284,0.1247,0.1175,0.1431,0.1627999999999999
ConvNeXt (Original),0.9199,0.8747,0.4575,0.4599,0.5924,0.5880000000000001,0.6584,0.3732999999999999,0.3649,0.4058,0.4256999999999999
InceptionNet (Finetuned),0.914,0.6032,0.8204,0.5626,0.6211,0.6204000000000001,0.6609,0.4513,0.4452,0.4866,0.502
InceptionNet (Original),0.9144,0.6033,0.5487,0.8444,0.6181,0.618,0.6676,0.4412,0.4367,0.4825,0.4989
MobileNet (Original),0.9175,0.6101,0.4817,0.4875,0.9442,0.6396,0.7101,0.4101,0.3983,0.4396,0.4653
RegNetX_400MF (Finetuned),0.9149,0.6148,0.4868,0.4911,0.6482,0.9099,0.7378,0.4213,0.4041,0.4451,0.4780999999999999
RegNetX_400MF (Original),0.9174,0.5900000000000001,0.4463,0.4505,0.6078,0.6283000000000001,0.9582,0.3752999999999999,0.3648,0.4023,0.4302
VGG16 (Finetuned),0.9125,0.6225,0.5279,0.5255000000000001,0.6371,0.6425000000000001,0.6962999999999999,0.9497,0.5636,0.4862999999999999,0.5086999999999999
VGG16 (Original),0.9103,0.6072,0.5315,0.5297000000000001,0.6233,0.6275999999999999,0.6805,0.6201,0.8881,0.4991,0.5183
XceptionNet (Finetuned),0.9158,0.6058,0.5367,0.5424,0.6359,0.6312,0.6753,0.4784,0.4726,0.8398,0.5677
XceptionNet (Original),0.9143,0.609,0.5267999999999999,0.5302,0.6395,0.6416,0.6867,0.4697,0.4609,0.5307,0.8842
