model,dataset,kind,attack,model_label,param_count,latency_ms,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
InceptionNet,tinyimagenet_epochs100_pretrain300,Control_Continuted,BIM,InceptionNet (Control Continued),6185832,76.873333461117,0.005,0.0023,0.0023,0.995,0.9977,0.9977,0.0027,0.54,0.4599999999999999
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,InceptionNet (Pruned Finetuned),4431352,50.01523507526144,0.0041,0.0016,0.0016,0.9959,0.9984,0.9984,0.0025,0.6097560975609757,0.3902439024390244
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,InceptionNet (Pruned Finetuned Quantized),4431352,49.4383574812673,0.0042,0.0021,0.0021,0.9958,0.9979,0.9979,0.0021,0.5,0.5
InceptionNet,tinyimagenet_epochs100_pretrain300,Control_Continuted,CW,InceptionNet (Control Continued),6185832,25.1308772014454,0.005,0.0029,0.0029,0.995,0.9971,0.9971,0.0021,0.42,0.58
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,CW,InceptionNet (Pruned Finetuned),4431352,40.04601878114045,0.0041,0.0026,0.0026,0.9959,0.9974,0.9974,0.0015,0.3658536585365854,0.6341463414634145
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,CW,InceptionNet (Pruned Finetuned Quantized),4431352,39.7805854328908,0.0042,0.0027,0.0027,0.9958,0.9973,0.9973,0.0014999999999999,0.3571428571428571,0.6428571428571429
InceptionNet,tinyimagenet_epochs100_pretrain300,Control_Continuted,FGSM,InceptionNet (Control Continued),6185832,62.4522601487115,0.005,0.0091,0.0091,0.995,0.9909,0.9909,-0.0041,-0.8200000000000001,1.82
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,FGSM,InceptionNet (Pruned Finetuned),4431352,29.95437579229474,0.0041,0.0174,0.0174,0.9959,0.9826,0.9826,-0.0133,-3.24390243902439,4.24390243902439
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,FGSM,InceptionNet (Pruned Finetuned Quantized),4431352,34.81147983111441,0.0042,0.0073,0.0073,0.9958,0.9927,0.9927,-0.0031,-0.7380952380952382,1.738095238095238
InceptionNet,tinyimagenet_epochs100_pretrain300,Control_Continuted,BIM,InceptionNet (Control Continued),6185832,54.08802886959165,0.005,0.0023,0.0023,0.995,0.9977,0.9977,0.0027,0.54,0.4599999999999999
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,InceptionNet (Pruned Finetuned),4431352,32.500367786269635,0.0041,0.0016,0.0016,0.9959,0.9984,0.9984,0.0025,0.6097560975609757,0.3902439024390244
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,InceptionNet (Pruned Finetuned Quantized),4431352,32.036157604306936,0.0042,0.0021,0.0021,0.9958,0.9979,0.9979,0.0021,0.5,0.5
InceptionNet,tinyimagenet_epochs100_pretrain300,Control_Continuted,PGD,InceptionNet (Control Continued),6185832,64.14127132156864,0.005,0.0018,0.0018,0.995,0.9982,0.9982,0.0032,0.64,0.36
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,PGD,InceptionNet (Pruned Finetuned),4431352,37.44420976145193,0.0041,0.0033,0.0033,0.9959,0.9967,0.9967,0.0008,0.1951219512195122,0.8048780487804877
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,PGD,InceptionNet (Pruned Finetuned Quantized),4431352,37.65321134123951,0.0042,0.0015,0.0015,0.9958,0.9985,0.9985,0.0026999999999999,0.6428571428571428,0.3571428571428571
MobileNet,Cifar100_epochs100_pretrain300,Control_Continuted,APGD,MobileNet (Control Continued),3309476,11.26263152109459,0.434,0.0223,0.0223,0.5660000000000001,0.9777,0.9777,0.4117,0.9486175115207374,0.0513824884792626
MobileNet,Cifar100_epochs100_pretrain300,Control_Continuted,BIM,MobileNet (Control Continued),3309476,47.65383676858619,0.434,0.2286,0.2286,0.5660000000000001,0.7714,0.7714,0.2054,0.4732718894009217,0.5267281105990783
MobileNet,Cifar100_epochs100_pretrain300,Control_Continuted,CW,MobileNet (Control Continued),3309476,20.42465955018997,0.4339,0.0253,0.0253,0.5661,0.9747,0.9747,0.4086,0.9416916340170548,0.0583083659829453
MobileNet,Cifar100_epochs100_pretrain300,Control_Continuted,DeepFool,MobileNet (Control Continued),3309476,26.18703661719337,0.4339,0.0222,0.0222,0.5661,0.9778,0.9778,0.4117,0.9488361373588384,0.0511638626411615
MobileNet,Cifar100_epochs100_pretrain300,Control_Continuted,FGSM,MobileNet (Control Continued),3309476,24.273761513177305,0.434,0.0959,0.0959,0.5660000000000001,0.9041,0.9041,0.3381,0.7790322580645161,0.2209677419354838
MobileNet,Cifar100_epochs100_pretrain300,Control_Continuted,BIM,MobileNet (Control Continued),3309476,11.268524022307249,0.434,0.2282,0.2282,0.5660000000000001,0.7718,0.7718,0.2058,0.4741935483870968,0.5258064516129032
MobileNet,Cifar100_epochs100_pretrain300,Control_Continuted,PGD,MobileNet (Control Continued),3309476,40.48395701684058,0.434,0.0432,0.0432,0.5660000000000001,0.9568,0.9568,0.3908,0.9004608294930875,0.0995391705069124
RegNetX_400MF,Cifar100_epochs100_pretrain300,Control_Continuted,APGD,RegNetX_400MF (Control Continued),4811012,210.25741109624505,0.3577,0.0097,0.0097,0.6423,0.9903,0.9903,0.348,0.972882303606374,0.0271176963936259
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,APGD,RegNetX_400MF (Pruned Finetuned),4032260,272.8128495975397,0.3991,0.013,0.013,0.6009,0.987,0.987,0.3861,0.96742671009772,0.0325732899022801
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,APGD,RegNetX_400MF (Pruned Finetuned Quantized),4032260,283.02392687182873,0.3601,0.0159,0.0159,0.6399,0.9841,0.9841,0.3441999999999999,0.9558455984448764,0.0441544015551235
RegNetX_400MF,Cifar100_epochs100_pretrain300,Control_Continuted,BIM,RegNetX_400MF (Control Continued),4811012,206.4170565339737,0.3577,0.1826,0.1826,0.6423,0.8174,0.8174,0.1751,0.4895163544870002,0.5104836455129997
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,RegNetX_400MF (Pruned Finetuned),4032260,256.52326880954206,0.3991,0.1932,0.1932,0.6009,0.8068,0.8068,0.2059,0.5159107992984214,0.4840892007015785
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,RegNetX_400MF (Pruned Finetuned Quantized),4032260,260.83691947860643,0.3601,0.1928,0.1928,0.6399,0.8072,0.8072,0.1672999999999999,0.4645931685642877,0.5354068314357123
RegNetX_400MF,Cifar100_epochs100_pretrain300,Control_Continuted,CW,RegNetX_400MF (Control Continued),4811012,151.97219561086968,0.3577,0.0011,0.0011,0.6423,0.9989,0.9989,0.3566,0.9969247973161868,0.0030752026838132
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,CW,RegNetX_400MF (Pruned Finetuned),4032260,246.83810881106183,0.3991,0.0013,0.0013,0.6009,0.9987,0.9987,0.3978,0.996742671009772,0.003257328990228
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,CW,RegNetX_400MF (Pruned Finetuned Quantized),4032260,250.77084433287385,0.3601,0.0017,0.0017,0.6399,0.9983,0.9983,0.3584,0.9952790891419052,0.0047209108580949
RegNetX_400MF,Cifar100_epochs100_pretrain300,Control_Continuted,DeepFool,RegNetX_400MF (Control Continued),4811012,157.4023763067089,0.3577,0.0202,0.0202,0.6423,0.9798,0.9798,0.3375,0.9435280961699748,0.0564719038300251
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,DeepFool,RegNetX_400MF (Pruned Finetuned),4032260,242.03584623755887,0.3991,0.0274,0.0274,0.6009,0.9726,0.9726,0.3717,0.9313455274367328,0.0686544725632673
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,DeepFool,RegNetX_400MF (Pruned Finetuned Quantized),4032260,237.87232702597976,0.3601,0.023,0.023,0.6399,0.977,0.977,0.3370999999999999,0.936128853096362,0.0638711469036378
RegNetX_400MF,Cifar100_epochs100_pretrain300,Control_Continuted,FGSM,RegNetX_400MF (Control Continued),4811012,23.19107608636841,0.3577,0.0607,0.0607,0.6423,0.9393,0.9393,0.297,0.8303047246295779,0.1696952753704221
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,FGSM,RegNetX_400MF (Pruned Finetuned),4032260,71.47074113599956,0.3991,0.0732,0.0732,0.6009,0.9268,0.9268,0.3259,0.816587321473315,0.183412678526685
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,FGSM,RegNetX_400MF (Pruned Finetuned Quantized),4032260,86.50402241619304,0.3601,0.0638,0.0638,0.6399,0.9362,0.9362,0.2963,0.8228269925020828,0.1771730074979172
RegNetX_400MF,Cifar100_epochs100_pretrain300,Control_Continuted,BIM,RegNetX_400MF (Control Continued),4811012,215.3680699178949,0.3577,0.1826,0.1826,0.6423,0.8174,0.8174,0.1751,0.4895163544870002,0.5104836455129997
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,RegNetX_400MF (Pruned Finetuned),4032260,249.3952632881701,0.3991,0.1932,0.1932,0.6009,0.8068,0.8068,0.2059,0.5159107992984214,0.4840892007015785
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,RegNetX_400MF (Pruned Finetuned Quantized),4032260,254.32404645252973,0.3601,0.1928,0.1928,0.6399,0.8072,0.8072,0.1672999999999999,0.4645931685642877,0.5354068314357123
RegNetX_400MF,Cifar100_epochs100_pretrain300,Control_Continuted,PGD,RegNetX_400MF (Control Continued),4811012,16.889255435671657,0.3577,0.0241,0.0241,0.6423,0.9759,0.9759,0.3336,0.9326251048364552,0.0673748951635448
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,PGD,RegNetX_400MF (Pruned Finetuned),4032260,68.68783484678715,0.3991,0.0296,0.0296,0.6009,0.9704,0.9704,0.3695,0.925833124530193,0.074166875469807
RegNetX_400MF,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,PGD,RegNetX_400MF (Pruned Finetuned Quantized),4032260,30.186354205943644,0.3599,0.0322,0.0322,0.6401,0.9678,0.9678,0.3277,0.910530702973048,0.0894692970269519
RegNetX_400MF,Cifar10_epochs100_pretrain300,Control_Continuted,APGD,RegNetX_400MF (Control Continued),4776362,51.5686834231019,0.7411,0.0866,0.0866,0.2589,0.9134,0.9134,0.6545,0.8831466738631764,0.1168533261368236
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,APGD,RegNetX_400MF (Pruned Finetuned),3997610,92.5382070010528,0.7868,0.0905,0.0905,0.2131999999999999,0.9095,0.9095,0.6963,0.8849771225216064,0.1150228774783934
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,APGD,RegNetX_400MF (Pruned Finetuned Quantized),3997610,30.527535441797227,0.7797,0.0895,0.0895,0.2203,0.9105,0.9105,0.6901999999999999,0.8852122611260741,0.1147877388739258
RegNetX_400MF,Cifar10_epochs100_pretrain300,Control_Continuted,BIM,RegNetX_400MF (Control Continued),4776362,481.0359964612872,0.7411,0.5198,0.5198,0.2589,0.4801999999999999,0.4801999999999999,0.2212999999999999,0.2986101740655781,0.7013898259344219
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,RegNetX_400MF (Pruned Finetuned),3997610,78.59314871020615,0.7868,0.5394,0.5394,0.2131999999999999,0.4606,0.4606,0.2474,0.3144382308083376,0.6855617691916623
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,RegNetX_400MF (Pruned Finetuned Quantized),3997610,31.697234010789543,0.7797,0.5431,0.5431,0.2203,0.4569,0.4569,0.2365999999999999,0.3034500448890598,0.6965499551109402
RegNetX_400MF,Cifar10_epochs100_pretrain300,Control_Continuted,CW,RegNetX_400MF (Control Continued),4776362,17.50558988424018,0.7411,0.0798,0.0798,0.2589,0.9202,0.9202,0.6613,0.8923222237214951,0.1076777762785049
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,CW,RegNetX_400MF (Pruned Finetuned),3997610,35.76846093637869,0.7868,0.0716,0.0716,0.2131999999999999,0.9284,0.9284,0.7152000000000001,0.9089984748347738,0.0910015251652262
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,CW,RegNetX_400MF (Pruned Finetuned Quantized),3997610,41.90857373178005,0.7797,0.0679,0.0679,0.2203,0.9321,0.9321,0.7118,0.9129152238040272,0.0870847761959728
RegNetX_400MF,Cifar10_epochs100_pretrain300,Control_Continuted,DeepFool,RegNetX_400MF (Control Continued),4776362,17.75136045180261,0.7411,0.1108,0.1108,0.2589,0.8892,0.8892,0.6303,0.8504925111321009,0.149507488867899
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,DeepFool,RegNetX_400MF (Pruned Finetuned),3997610,41.65892441524193,0.7868,0.1389,0.1389,0.2131999999999999,0.8611,0.8611,0.6479,0.8234621250635485,0.1765378749364514
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,DeepFool,RegNetX_400MF (Pruned Finetuned Quantized),3997610,40.21728992229328,0.7797,0.1312,0.1312,0.2203,0.8688,0.8688,0.6485,0.8317301526228037,0.1682698473771963
RegNetX_400MF,Cifar10_epochs100_pretrain300,Control_Continuted,FGSM,RegNetX_400MF (Control Continued),4776362,467.3699448350817,0.7411,0.2719,0.2719,0.2589,0.7281,0.7281,0.4692,0.6331129402239913,0.3668870597760086
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,FGSM,RegNetX_400MF (Pruned Finetuned),3997610,92.82690404215828,0.7868,0.3065,0.3065,0.2131999999999999,0.6935,0.6935,0.4803,0.610447381799695,0.389552618200305
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,FGSM,RegNetX_400MF (Pruned Finetuned Quantized),3997610,70.07781363790855,0.7797,0.2974,0.2974,0.2203,0.7026,0.7026,0.4822999999999999,0.6185712453507759,0.3814287546492241
RegNetX_400MF,Cifar10_epochs100_pretrain300,Control_Continuted,BIM,RegNetX_400MF (Control Continued),4776362,481.7709304159507,0.7411,0.5198,0.5198,0.2589,0.4801999999999999,0.4801999999999999,0.2212999999999999,0.2986101740655781,0.7013898259344219
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,RegNetX_400MF (Pruned Finetuned),3997610,57.77782901423052,0.7868,0.5394,0.5394,0.2131999999999999,0.4606,0.4606,0.2474,0.3144382308083376,0.6855617691916623
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,RegNetX_400MF (Pruned Finetuned Quantized),3997610,32.37296715378761,0.7797,0.5431,0.5431,0.2203,0.4569,0.4569,0.2365999999999999,0.3034500448890598,0.6965499551109402
RegNetX_400MF,Cifar10_epochs100_pretrain300,Control_Continuted,PGD,RegNetX_400MF (Control Continued),4776362,477.9611125239171,0.7411,0.1416,0.1416,0.2589,0.8584,0.8584,0.5994999999999999,0.8089326676561867,0.1910673323438132
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,PGD,RegNetX_400MF (Pruned Finetuned),3997610,70.59248146833852,0.7868,0.1514,0.1514,0.2131999999999999,0.8486,0.8486,0.6354000000000001,0.8075749872902899,0.1924250127097102
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,PGD,RegNetX_400MF (Pruned Finetuned Quantized),3997610,24.01822233805433,0.7797,0.1474,0.1474,0.2203,0.8526,0.8526,0.6323,0.8109529306143388,0.1890470693856611
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Control_Continuted,APGD,RegNetX_400MF (Control Continued),4849512,45.039170887321234,0.0038,0.0001,0.0001,0.9962,0.9999,0.9999,0.0037,0.9736842105263158,0.0263157894736842
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,APGD,RegNetX_400MF (Pruned Finetuned),3624552,41.43759246217087,0.0037,0.0001,0.0001,0.9963,0.9999,0.9999,0.0036,0.972972972972973,0.027027027027027
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,APGD,RegNetX_400MF (Pruned Finetuned Quantized),3624552,43.70634718798101,0.0039,0.0,0.0,0.9961,1.0,1.0,0.0039,1.0,0.0
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Control_Continuted,CW,RegNetX_400MF (Control Continued),4849512,40.33843069337309,0.0038,0.0013,0.0013,0.9962,0.9987,0.9987,0.0025,0.6578947368421053,0.3421052631578947
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,CW,RegNetX_400MF (Pruned Finetuned),3624552,27.97053607646376,0.0037,0.0019,0.0019,0.9963,0.9981,0.9981,0.0018,0.4864864864864865,0.5135135135135135
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,CW,RegNetX_400MF (Pruned Finetuned Quantized),3624552,27.67940569901839,0.0039,0.0012,0.0012,0.9961,0.9988,0.9988,0.0027,0.6923076923076924,0.3076923076923076
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Control_Continuted,DeepFool,RegNetX_400MF (Control Continued),4849512,78.30105819739401,0.0038,0.0008,0.0008,0.9962,0.9992,0.9992,0.003,0.7894736842105263,0.2105263157894737
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,DeepFool,RegNetX_400MF (Pruned Finetuned),3624552,29.07894568052143,0.0037,0.0013,0.0013,0.9963,0.9987,0.9987,0.0024,0.6486486486486487,0.3513513513513513
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,DeepFool,RegNetX_400MF (Pruned Finetuned Quantized),3624552,30.19205774180591,0.0039,0.0005,0.0005,0.9961,0.9995,0.9995,0.0034,0.8717948717948718,0.1282051282051282
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Control_Continuted,PGD,RegNetX_400MF (Control Continued),4849512,603.2364622573368,0.0038,0.0008,0.0008,0.9962,0.9992,0.9992,0.003,0.7894736842105263,0.2105263157894737
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,PGD,RegNetX_400MF (Pruned Finetuned),3624552,973.87330471538,0.0037,0.001,0.001,0.9963,0.999,0.999,0.0027,0.7297297297297297,0.2702702702702703
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,PGD,RegNetX_400MF (Pruned Finetuned Quantized),3624552,965.7933813752608,0.0039,0.0004,0.0004,0.9961,0.9996,0.9996,0.0034999999999999,0.8974358974358974,0.1025641025641025
VGG16,Cifar100_epochs100_pretrain300,Control_Continuted,APGD,VGG16 (Control Continued),34031780,375.42472089407966,0.6087,0.0201,0.0201,0.3913,0.9799,0.9799,0.5886,0.9669788072942336,0.0330211927057663
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,APGD,VGG16 (Pruned Finetuned),22623396,57.52758525777608,0.6785,0.0238,0.0238,0.3215,0.9762,0.9762,0.6547,0.9649226234340456,0.0350773765659543
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,APGD,VGG16 (Pruned Finetuned Quantized),22623396,68.08666859287769,0.6944,0.0382,0.0382,0.3056,0.9618,0.9618,0.6562,0.9449884792626728,0.0550115207373271
VGG16,Cifar100_epochs100_pretrain300,Control_Continuted,BIM,VGG16 (Control Continued),34031780,372.7132744854316,0.6087,0.2666,0.2666,0.3913,0.7334,0.7334,0.3421,0.5620174141613274,0.4379825858386725
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,VGG16 (Pruned Finetuned),22623396,44.83154870104045,0.6785,0.2727,0.2727,0.3215,0.7273000000000001,0.7273000000000001,0.4058,0.5980840088430361,0.4019159911569639
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,VGG16 (Pruned Finetuned Quantized),22623396,46.47354359040037,0.6944,0.3265,0.3265,0.3056,0.6735,0.6735,0.3679,0.5298099078341014,0.4701900921658986
VGG16,Cifar100_epochs100_pretrain300,Control_Continuted,CW,VGG16 (Control Continued),34031780,370.6131455372088,0.6087,0.0018,0.0018,0.3913,0.9982,0.9982,0.6069,0.9970428782651553,0.0029571217348447
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,CW,VGG16 (Pruned Finetuned),22623396,64.21605097129941,0.6785,0.002,0.002,0.3215,0.998,0.998,0.6765,0.9970523212969786,0.0029476787030213
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,CW,VGG16 (Pruned Finetuned Quantized),22623396,41.34468449046835,0.6944,0.0008,0.0008,0.3056,0.9992,0.9992,0.6936,0.998847926267281,0.0011520737327188
VGG16,Cifar100_epochs100_pretrain300,Control_Continuted,DeepFool,VGG16 (Control Continued),34031780,374.394321476575,0.6087,0.0598,0.0598,0.3913,0.9402,0.9402,0.5489,0.9017578445868244,0.0982421554131756
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,DeepFool,VGG16 (Pruned Finetuned),22623396,59.05083093093708,0.6785,0.0965,0.0965,0.3215,0.9035,0.9035,0.582,0.8577745025792188,0.1422254974207811
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,DeepFool,VGG16 (Pruned Finetuned Quantized),22623396,41.99112927308306,0.6944,0.1117,0.1117,0.3056,0.8883,0.8883,0.5827,0.8391417050691244,0.1608582949308755
VGG16,Cifar100_epochs100_pretrain300,Control_Continuted,FGSM,VGG16 (Control Continued),34031780,175.8784304256551,0.6087,0.1206,0.1206,0.3913,0.8794,0.8794,0.4881,0.8018728437654017,0.1981271562345983
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,FGSM,VGG16 (Pruned Finetuned),22623396,38.81688521942124,0.6785,0.1749,0.1749,0.3215,0.8251,0.8251,0.5036,0.7422254974207813,0.2577745025792188
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,FGSM,VGG16 (Pruned Finetuned Quantized),22623396,45.26313687674701,0.6944,0.202,0.202,0.3056,0.798,0.798,0.4924,0.7091013824884792,0.2908986175115207
VGG16,Cifar100_epochs100_pretrain300,Control_Continuted,BIM,VGG16 (Control Continued),34031780,166.3506957469508,0.6087,0.2666,0.2666,0.3913,0.7334,0.7334,0.3421,0.5620174141613274,0.4379825858386725
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,VGG16 (Pruned Finetuned),22623396,46.33564634714276,0.6785,0.2727,0.2727,0.3215,0.7273000000000001,0.7273000000000001,0.4058,0.5980840088430361,0.4019159911569639
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,VGG16 (Pruned Finetuned Quantized),22623396,43.37492847116664,0.6944,0.3265,0.3265,0.3056,0.6735,0.6735,0.3679,0.5298099078341014,0.4701900921658986
VGG16,Cifar100_epochs100_pretrain300,Control_Continuted,PGD,VGG16 (Control Continued),34031780,166.9748203479685,0.6087,0.038,0.038,0.3913,0.962,0.962,0.5707,0.9375718744866108,0.0624281255133891
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,PGD,VGG16 (Pruned Finetuned),22623396,41.06774729443714,0.6785,0.0427,0.0427,0.3215,0.9573,0.9573,0.6358,0.9370670596904938,0.0629329403095062
VGG16,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,PGD,VGG16 (Pruned Finetuned Quantized),22623396,46.29903353052214,0.6944,0.0645,0.0645,0.3056,0.9355,0.9355,0.6299,0.9071140552995391,0.0928859447004608
VGG16,Cifar10_epochs100_pretrain300,Control_Continuted,BIM,VGG16 (Control Continued),33663050,111.51701690396294,0.9282,0.6747,0.6747,0.0717999999999999,0.3253,0.3253,0.2535,0.273109243697479,0.726890756302521
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,VGG16 (Pruned Finetuned),21893450,32.8213807195425,0.9167,0.5211,0.5211,0.0833,0.4789,0.4789,0.3955999999999999,0.4315479437111377,0.5684520562888623
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,VGG16 (Pruned Finetuned Quantized),21893450,40.23708904860541,0.9145,0.5916,0.5916,0.0855,0.4084,0.4084,0.3228999999999999,0.3530891197375614,0.6469108802624385
VGG16,Cifar10_epochs100_pretrain300,Control_Continuted,DeepFool,VGG16 (Control Continued),33663050,109.3873001052998,0.9282,0.1873,0.1873,0.0717999999999999,0.8127,0.8127,0.7409,0.7982115923292393,0.2017884076707606
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,DeepFool,VGG16 (Pruned Finetuned),21893450,47.43232830660418,0.9167,0.2334,0.2334,0.0833,0.7666,0.7666,0.6833,0.7453910766881204,0.2546089233118795
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,DeepFool,VGG16 (Pruned Finetuned Quantized),21893450,60.27988152345642,0.9145,0.2381,0.2381,0.0855,0.7619,0.7619,0.6764,0.7396391470749043,0.2603608529250957
VGG16,Cifar10_epochs100_pretrain300,Control_Continuted,FGSM,VGG16 (Control Continued),33663050,134.24259506864473,0.9282,0.4449,0.4449,0.0717999999999999,0.5550999999999999,0.5550999999999999,0.4833,0.5206851971557854,0.4793148028442146
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,FGSM,VGG16 (Pruned Finetuned),21893450,43.89119872357696,0.9167,0.3938,0.3938,0.0833,0.6062000000000001,0.6062000000000001,0.5228999999999999,0.5704156212501363,0.4295843787498636
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,FGSM,VGG16 (Pruned Finetuned Quantized),21893450,44.62580995168537,0.9145,0.4152,0.4152,0.0855,0.5848,0.5848,0.4992999999999999,0.545981410606889,0.454018589393111
VGG16,Cifar10_epochs100_pretrain300,Control_Continuted,BIM,VGG16 (Control Continued),33663050,2385.2020675083622,0.9282,0.6748,0.6748,0.0717999999999999,0.3252,0.3252,0.2534,0.273001508295626,0.726998491704374
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,VGG16 (Pruned Finetuned),21893450,1287.7658546785824,0.9167,0.5211,0.5211,0.0833,0.4789,0.4789,0.3955999999999999,0.4315479437111377,0.5684520562888623
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,VGG16 (Pruned Finetuned Quantized),21893450,1297.2853745915927,0.9145,0.5915,0.5915,0.0855,0.4085,0.4085,0.3229999999999999,0.3531984691088026,0.6468015308911974
VGG16,Cifar10_epochs100_pretrain300,Control_Continuted,PGD,VGG16 (Control Continued),33663050,2455.125938879792,0.9282,0.219,0.219,0.0717999999999999,0.781,0.781,0.7092,0.7640594699418229,0.2359405300581771
