source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
InceptionNet (Finetuned),0.8793,0.6391,0.9269,0.5549,0.6293,0.6873,0.7041999999999999,0.4674,0.4844,0.5013000000000001
InceptionNet (Original),0.8797,0.6396,0.5610999999999999,0.9226,0.6312,0.6874,0.704,0.4648,0.4856,0.5011
MobileNet (Original),0.8798,0.6321,0.5412,0.5316000000000001,0.9776,0.6887,0.7075,0.4509999999999999,0.4769,0.4905
RegNetX_400MF (Finetuned),0.8797,0.6331,0.536,0.5271,0.6201,0.9199,0.7218,0.4485,0.4745,0.4891999999999999
RegNetX_400MF (Original),0.8799,0.6349,0.5371,0.5292,0.6189,0.6965,0.9303,0.4495,0.474,0.4901999999999999
VGG16 (Original),0.8799,0.6336999999999999,0.5423,0.5366,0.6208,0.6839,0.7008,0.9739,0.4815,0.497
XceptionNet (Finetuned),0.8809,0.6315999999999999,0.5414,0.5334,0.6268,0.6867,0.7038,0.4588,0.9391,0.5097
XceptionNet (Original),0.8798,0.635,0.5435,0.5355,0.6288,0.6894,0.7054,0.4599999999999999,0.4942,0.9952
