source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.8694,0.7608,0.6645,0.7185,0.8297,0.8193,0.8143,0.6349,0.7525,0.6879,0.6733
ConvNeXt (Original),0.8702,0.8212,0.6764,0.7266,0.8309,0.8215,0.8159,0.6379,0.7536,0.6950000000000001,0.6816
InceptionNet (Finetuned),0.8697,0.7657,0.734,0.7534,0.8302,0.8190999999999999,0.8181,0.6423,0.7571,0.6941999999999999,0.6845
InceptionNet (Original),0.8693,0.7654,0.7041999999999999,0.7847,0.8289,0.8197,0.8138,0.6454,0.757,0.6947,0.6838
MobileNet (Original),0.8693,0.7612,0.6654,0.7194,0.843,0.8204,0.8161,0.6342,0.7509,0.6881999999999999,0.6746
RegNetX_400MF (Finetuned),0.8691,0.7614,0.6675,0.7194,0.8302,0.8376,0.8205,0.6341,0.7515000000000001,0.6895,0.6756
RegNetX_400MF (Original),0.8689,0.7605999999999999,0.6665,0.7187,0.8311,0.8210999999999999,0.8271999999999999,0.6344000000000001,0.7519,0.6887,0.6757
VGG16 (Finetuned),0.8688,0.7641,0.6765,0.7258,0.8304,0.8200000000000001,0.8161,0.7243999999999999,0.77,0.7012,0.6899
VGG16 (Original),0.8689,0.7646,0.6768000000000001,0.7267,0.8324,0.8203,0.813,0.6663,0.7997,0.7013,0.6892
XceptionNet (Finetuned),0.8693,0.7645,0.6703,0.724,0.8311999999999999,0.8195,0.8145,0.645,0.7565,0.7724,0.7351
XceptionNet (Original),0.869,0.7636000000000001,0.6706,0.7236,0.8284,0.8196,0.8152,0.6448,0.7581,0.7351,0.7758
