source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9277,0.6345000000000001,0.5093,0.5371,0.6668000000000001,0.685,0.4318999999999999,0.5025,0.4868
ConvNeXt (Original),0.9199,0.692,0.5258,0.5505,0.6811,0.6985,0.4452,0.5139,0.5026999999999999
InceptionNet (Finetuned),0.9191,0.6448,0.5763,0.5660000000000001,0.6788000000000001,0.6946,0.4597,0.5236000000000001,0.5126
InceptionNet (Original),0.9201,0.6449,0.5498000000000001,0.5920000000000001,0.6792,0.6971,0.4678,0.5228999999999999,0.514
RegNetX_400MF (Finetuned),0.9192,0.6401,0.526,0.5501,0.7143999999999999,0.7188,0.4560999999999999,0.5233,0.5113
RegNetX_400MF (Original),0.9197,0.6414,0.5237,0.5447,0.7052,0.7222999999999999,0.4499999999999999,0.5182,0.5087999999999999
VGG16 (Original),0.9206,0.6374,0.5246,0.5477000000000001,0.6742,0.6901999999999999,0.5424,0.5147999999999999,0.5074000000000001
XceptionNet (Finetuned),0.9202,0.6391,0.5288999999999999,0.5513,0.6799999999999999,0.6968,0.4576,0.5849,0.5255000000000001
XceptionNet (Original),0.9196,0.6424000000000001,0.5319,0.5562,0.6821999999999999,0.6988,0.4681999999999999,0.5427,0.5699000000000001
