source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9892,0.5869,0.4306,0.4428999999999999,0.5699000000000001,0.6037,0.6453,0.395,0.4026999999999999,0.4064
ConvNeXt (Original),0.9901,0.9714,0.6584,0.6738,0.788,0.8200000000000001,0.8582,0.6244000000000001,0.631,0.6328
InceptionNet (Finetuned),0.9894,0.8271,0.9406,0.7928,0.8377,0.8562,0.8728,0.7268,0.7395,0.7453000000000001
InceptionNet (Original),0.9892,0.8273,0.7686,0.9562,0.8387,0.8592,0.8793,0.724,0.7256,0.7313000000000001
MobileNet (Original),0.9898,0.8032,0.6796,0.6984,0.9802,0.8502000000000001,0.8724000000000001,0.6509,0.652,0.6585
RegNetX_400MF (Finetuned),0.9898,0.7948999999999999,0.6557,0.6765,0.8089999999999999,0.9831,0.882,0.6294,0.6335999999999999,0.6388
RegNetX_400MF (Original),0.9894,0.7805,0.6316999999999999,0.6528,0.7848999999999999,0.8361000000000001,0.9884,0.6,0.606,0.608
VGG16 (Original),0.99,0.8279,0.7478,0.7685,0.8338,0.8581,0.8756,0.9769,0.726,0.7276
XceptionNet (Finetuned),0.9899,0.8329,0.7708,0.7822,0.8435,0.8686,0.8791,0.7388,0.9433,0.7817000000000001
XceptionNet (Original),0.9897,0.8315,0.7742,0.7827999999999999,0.8482000000000001,0.8668,0.8775,0.7368,0.7804,0.946
