source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9143,0.6442,0.5302,0.5307999999999999,0.6509,0.6525000000000001,0.716,0.4923999999999999,0.4750999999999999,0.4859,0.5023
ConvNeXt (Original),0.9123,0.7058,0.5427,0.5426,0.6601,0.6624,0.7224999999999999,0.5004,0.4878,0.5005,0.5123
InceptionNet (Finetuned),0.9116,0.6531,0.5852999999999999,0.5627,0.6638999999999999,0.6652,0.7236,0.5187999999999999,0.5082,0.5129,0.5266
InceptionNet (Original),0.9115,0.6508,0.5599000000000001,0.5968,0.6611,0.6647000000000001,0.7227,0.5167999999999999,0.5045999999999999,0.5113,0.5258
MobileNet (Original),0.9114,0.6472,0.5415,0.5408,0.7012,0.6661,0.7282,0.502,0.4901999999999999,0.5014000000000001,0.5211
RegNetX_400MF (Finetuned),0.9121,0.6509,0.5432,0.5448,0.6668000000000001,0.6941999999999999,0.7368,0.5112,0.4971,0.5055000000000001,0.5252
RegNetX_400MF (Original),0.9115,0.6482,0.5349999999999999,0.5394,0.6668000000000001,0.6738,0.7663,0.4998,0.4852999999999999,0.4968,0.5192
VGG16 (Finetuned),0.9116,0.6455,0.5397000000000001,0.54,0.6558999999999999,0.6578999999999999,0.7182999999999999,0.6063000000000001,0.5261,0.497,0.5146
VGG16 (Original),0.9114,0.6441,0.5388,0.5378000000000001,0.6563,0.6568,0.7171000000000001,0.5318,0.5537000000000001,0.496,0.5132
XceptionNet (Finetuned),0.9114,0.6476999999999999,0.5484,0.5499,0.6629,0.6652,0.7244999999999999,0.5198,0.5072,0.5568,0.5455
XceptionNet (Original),0.9119,0.6484,0.5462,0.5469999999999999,0.6656,0.6651,0.7252000000000001,0.5152,0.5019,0.5245,0.5959
