source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.8791,0.2701,0.1563,0.1552,0.2135,0.2497,0.283,0.0890999999999999,0.1274999999999999,0.1336
InceptionNet (Finetuned),0.8768,0.6289,0.8184,0.5667,0.6284000000000001,0.6758,0.6934,0.4399999999999999,0.4785,0.4943999999999999
InceptionNet (Original),0.8751,0.6333,0.5769,0.8216,0.6328,0.6794,0.7010000000000001,0.4498,0.4864,0.4991
MobileNet (Original),0.8714999999999999,0.616,0.5023,0.4956,0.8589,0.675,0.7006,0.388,0.4373,0.4518
RegNetX_400MF (Finetuned),0.8734,0.6073,0.4824,0.4777,0.5945,0.8674999999999999,0.7237,0.3696,0.4199,0.4355
RegNetX_400MF (Original),0.8718,0.5964,0.4630999999999999,0.4612,0.5746,0.6682,0.8762,0.3552999999999999,0.4022,0.4203
VGG16 (Original),0.8768,0.6303000000000001,0.5468,0.5389999999999999,0.6262,0.6834,0.6978,0.8331999999999999,0.4933999999999999,0.5055000000000001
XceptionNet (Finetuned),0.8764,0.6306,0.5399,0.5331,0.6273,0.6845,0.7045,0.4428999999999999,0.7951,0.5169
XceptionNet (Original),0.8761,0.6285000000000001,0.54,0.5366,0.6271,0.6848000000000001,0.7039,0.4464,0.5057,0.7855
