source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9866,0.5895,0.4291,0.4538999999999999,0.5769,0.6032,0.6489,0.3258999999999999,0.4544,0.4031,0.4125
ConvNeXt (Original),0.989,0.9714,0.6568,0.6812,0.7937,0.8222,0.8589,0.5467,0.6748000000000001,0.6212,0.6287
InceptionNet (Finetuned),0.988,0.8282,0.9418,0.7983,0.8435,0.8584,0.8791,0.6537999999999999,0.7654,0.7356,0.7412000000000001
InceptionNet (Original),0.9888,0.8267,0.7611,0.961,0.841,0.8575,0.8775,0.6427,0.7649,0.7130000000000001,0.725
MobileNet (Original),0.988,0.8041,0.6724,0.7027,0.986,0.8524,0.88,0.567,0.6989000000000001,0.6397999999999999,0.6591
RegNetX_400MF (Finetuned),0.9885,0.7973,0.659,0.6848000000000001,0.8138,0.9872,0.8888,0.5476,0.6811,0.6272,0.6397999999999999
RegNetX_400MF (Original),0.9878,0.7861,0.6308,0.6572,0.7928,0.839,0.9921,0.5186999999999999,0.6533,0.5964,0.6105
VGG16 (Finetuned),0.9891,0.8449,0.7772,0.7983,0.8613,0.8791,0.8962,0.9762,0.848,0.7524,0.7614
VGG16 (Original),0.9877,0.8173,0.7209,0.7515000000000001,0.8297,0.8484,0.8714999999999999,0.6832,0.9832,0.692,0.6995
XceptionNet (Finetuned),0.9879,0.8348,0.7738,0.7874,0.8502000000000001,0.865,0.8822,0.6724,0.7798,0.9409,0.7841
XceptionNet (Original),0.988,0.8321000000000001,0.7703,0.7912,0.8583000000000001,0.8733,0.8888,0.6694,0.7782,0.7708,0.9572
