source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9897,0.8842,0.8202,0.8378,0.8953,0.9129,0.9347,0.7732,0.8569,0.7966,0.8006
ConvNeXt (Original),0.9895,0.996,0.8207,0.839,0.8964,0.9138,0.9347,0.7738,0.8568,0.7969999999999999,0.8008
InceptionNet (Finetuned),0.9893,0.8815999999999999,0.9535,0.8427,0.8938,0.9097,0.9308,0.7731,0.8558,0.7983,0.8032
InceptionNet (Original),0.9897,0.8847,0.8253,0.9707,0.8966,0.9141,0.9348,0.777,0.86,0.7991,0.8043
MobileNet (Original),0.9897,0.8853,0.8217,0.8386,0.9781,0.9146,0.9359,0.7745,0.858,0.7972,0.8015
RegNetX_400MF (Finetuned),0.9896,0.885,0.821,0.8392999999999999,0.8966,0.9987,0.9386,0.7739,0.8588,0.7975,0.8022
RegNetX_400MF (Original),0.9897,0.8848,0.8210999999999999,0.8382000000000001,0.8966,0.9161,0.9994,0.7745,0.8572,0.7969999999999999,0.8015
VGG16 (Finetuned),0.9898,0.8843,0.8209,0.8392999999999999,0.8958,0.9133,0.9345,0.9858,0.8654,0.7976,0.8011
VGG16 (Original),0.9897,0.8849,0.8210999999999999,0.8392999999999999,0.8956999999999999,0.9137,0.9348,0.7793,0.9913,0.7978000000000001,0.8021
XceptionNet (Finetuned),0.9897,0.8846,0.8236,0.8423,0.9,0.9155,0.9352,0.7781,0.8618,0.9948,0.8144
XceptionNet (Original),0.9895,0.8769,0.8153,0.8341000000000001,0.8906000000000001,0.907,0.9278,0.7703,0.8524,0.8003,0.9823
