source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9888,0.7583,0.6840999999999999,0.7565999999999999,0.8917,0.8694,0.9037,0.6760999999999999,0.9112,0.6375,0.6961999999999999
ConvNeXt (Original),0.9904,0.997,0.8230999999999999,0.8654,0.9488,0.94,0.9558,0.7999,0.946,0.7859,0.8258
InceptionNet (Finetuned),0.9899,0.8881,0.9842,0.8996,0.9544,0.9458,0.9569,0.8354,0.9496,0.8285,0.8622
InceptionNet (Original),0.9906,0.8723,0.8416,0.985,0.9479,0.9384,0.9539,0.8073,0.9503,0.7895,0.8268
MobileNet (Original),0.9899,0.8154,0.7483,0.8093,0.9921,0.9127,0.9393,0.7343999999999999,0.9353,0.7021,0.7543
RegNetX_400MF (Finetuned),0.9898,0.8249,0.7597,0.8172,0.9335,0.9935,0.9472,0.7463,0.9388,0.7148,0.7637
RegNetX_400MF (Original),0.9889,0.8085,0.7391,0.8029999999999999,0.9269,0.9129,0.9951,0.7259,0.9311,0.6936,0.7456
VGG16 (Finetuned),0.9898,0.8855,0.8644000000000001,0.8886000000000001,0.9539,0.9457,0.9569,0.9742,0.9505,0.8225,0.8589
VGG16 (Original),0.9891,0.8006,0.7304999999999999,0.7985,0.9176,0.9005,0.9245,0.7198,0.9929,0.6884,0.7382
XceptionNet (Finetuned),0.9894,0.8999,0.8819,0.901,0.9554,0.9488,0.9592,0.8479,0.9528,0.9767,0.882
XceptionNet (Original),0.9897,0.8832,0.8593,0.8814,0.9528,0.9431,0.9559,0.8278,0.9458,0.8245,0.9763
