source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.8769,0.6377999999999999,0.5259,0.5267,0.6465000000000001,0.6478999999999999,0.7106,0.4800999999999999,0.4710999999999999,0.4818,0.4942999999999999
ConvNeXt (Original),0.8785000000000001,0.9968,0.5357000000000001,0.536,0.6555,0.6611,0.7232000000000001,0.4911999999999999,0.4798,0.4907,0.503
InceptionNet (Finetuned),0.8769,0.6448,0.9822,0.5526,0.6592,0.6617999999999999,0.7169,0.4983999999999999,0.4901,0.4992999999999999,0.5132
InceptionNet (Original),0.877,0.648,0.5472,0.993,0.6595,0.6641,0.7216,0.4982,0.4878,0.4975,0.5113
MobileNet (Original),0.8768,0.6447,0.5317000000000001,0.5319,0.9981,0.6582,0.7235,0.4883999999999999,0.4784,0.4883999999999999,0.5041
RegNetX_400MF (Finetuned),0.8776,0.6436999999999999,0.531,0.5313,0.6592,0.9186,0.7377,0.4891,0.4785,0.4898,0.5061
RegNetX_400MF (Original),0.8774,0.6435,0.5301,0.5308999999999999,0.6534,0.6594,0.9428,0.487,0.477,0.4871,0.5014000000000001
VGG16 (Finetuned),0.8763,0.6383,0.5275000000000001,0.5282,0.6469,0.651,0.7103999999999999,0.988,0.4903999999999999,0.4842999999999999,0.4999
VGG16 (Original),0.8777,0.6443,0.5367999999999999,0.5383,0.6556,0.6599999999999999,0.7199,0.5341,0.9992,0.4943999999999999,0.5113
XceptionNet (Finetuned),0.8778,0.6363,0.5324,0.5333,0.6533,0.6557999999999999,0.7135,0.4943999999999999,0.4831999999999999,0.9707,0.5274
XceptionNet (Original),0.8778,0.6448,0.536,0.5379,0.6605,0.6654,0.7259,0.4947,0.4877,0.5031,0.9986
