source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9891,0.884,0.8198,0.8379,0.8953,0.9129,0.9345,0.7727999999999999,0.8565,0.7964,0.8002
ConvNeXt (Original),0.9889,0.9975,0.8205,0.8391,0.8965,0.9138,0.9347,0.7737,0.8567,0.7968999999999999,0.8007
InceptionNet (Finetuned),0.9887,0.8814,0.9851,0.8426,0.8935,0.9099,0.931,0.7735,0.8558,0.7982,0.8033
InceptionNet (Original),0.9891,0.8847,0.8251,0.9966,0.8964,0.914,0.9346,0.7767,0.86,0.7991,0.8041
MobileNet (Original),0.9891,0.8853,0.8216,0.8386,0.999,0.9148,0.9359,0.7745,0.8581,0.7971,0.8014
RegNetX_400MF (Finetuned),0.989,0.8849,0.821,0.8392999999999999,0.8965,0.9987,0.9383,0.7738,0.8585,0.7973,0.8017
RegNetX_400MF (Original),0.9889,0.8848,0.821,0.8382000000000001,0.8965,0.9164,0.9994,0.7743,0.8573999999999999,0.7968,0.8014
VGG16 (Finetuned),0.989,0.8844,0.8207,0.8392,0.896,0.9133,0.9345,0.9981,0.8656,0.7974,0.8012
VGG16 (Original),0.9891,0.885,0.821,0.8394,0.8959,0.9138,0.9346,0.7791,0.9996,0.7977,0.8021
XceptionNet (Finetuned),0.989,0.8846,0.8235,0.8423,0.9002,0.9156,0.9351,0.7782,0.862,0.9681,0.8143
XceptionNet (Original),0.989,0.877,0.8153,0.8343,0.891,0.9072,0.9276,0.7706,0.8527,0.8003,0.963
