source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original)
ConvNeXt (Finetuned),0.8945,0.2725999999999999,0.1535999999999999,0.1677999999999999
ConvNeXt (Original),0.8889,0.4539999999999999,0.1622,0.1765999999999999
InceptionNet (Finetuned),0.8905,0.2823,0.3198999999999999,0.1954
InceptionNet (Original),0.8904,0.2822,0.1812,0.3564
