source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9885,0.76,0.6877,0.759,0.8936,0.8713,0.9041,0.6787000000000001,0.9129,0.6413,0.6989000000000001
ConvNeXt (Original),0.9904,0.9792,0.8166,0.8618,0.9468,0.9368,0.9533,0.7958000000000001,0.9445,0.7803,0.8204
InceptionNet (Finetuned),0.9901,0.8863,0.9836,0.902,0.9538,0.9458,0.9569,0.8369,0.949,0.8283,0.8631
InceptionNet (Original),0.9903,0.8684000000000001,0.8392,0.9854,0.9489,0.9353,0.9524,0.8071,0.95,0.7859,0.8253
MobileNet (Original),0.9899,0.815,0.7482,0.8093,0.9992,0.9126,0.9398,0.7341,0.9351,0.7016,0.7544
RegNetX_400MF (Finetuned),0.9897,0.8242,0.7598,0.8174,0.9342,0.9971,0.9479,0.7468,0.9387,0.7138,0.764
RegNetX_400MF (Original),0.9889,0.8086,0.7388,0.8027,0.9271,0.9134,0.9992,0.7262,0.9308,0.6935,0.7458
VGG16 (Finetuned),0.9892,0.8821,0.8599,0.8862,0.9532,0.9436,0.9554,0.975,0.9502,0.8221,0.8553
VGG16 (Original),0.9892,0.7983,0.7283,0.7979,0.9177,0.8995,0.9239,0.7192000000000001,0.9933,0.6869000000000001,0.7363999999999999
XceptionNet (Finetuned),0.9895,0.8989,0.8822,0.8999,0.955,0.9471,0.9575,0.8506,0.9524,0.9871,0.89
XceptionNet (Original),0.99,0.8822,0.8593999999999999,0.8821,0.9516,0.9422,0.9542,0.8280000000000001,0.9458,0.8329,0.9892
