model,dataset,kind,attack,model_label,param_count,latency_ms,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
RegNetX_400MF,Cifar10_epochs100_pretrain300,Control_Continuted,PGD,RegNetX_400MF (Control Continued),4776362,54.309978103265166,0.7411,0.1414,0.1414,0.2589,0.8586,0.8586,0.5997,0.8092025367696667,0.19079746323033328
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,PGD,RegNetX_400MF (Pruned Finetuned),3997610,36.24441664433107,0.7868,0.1511,0.1511,0.21319999999999995,0.8489,0.8489,0.6357,0.807956278596848,0.192043721403152
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,PGD,RegNetX_400MF (Pruned Finetuned Quantized),3997610,38.21537949843332,0.7797,0.1476,0.1476,0.22030000000000005,0.8524,0.8524,0.6320999999999999,0.810696421700654,0.18930357829934594
