source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9886,0.9345,0.9349,0.9397,0.9746,0.9675,0.9765,0.9098,0.9633,0.9164,0.9235
ConvNeXt (Original),0.989,0.9593,0.9383,0.9397,0.9743,0.9686,0.9759,0.9114,0.9648,0.9209,0.9259
InceptionNet (Finetuned),0.989,0.9357,0.9517,0.9433,0.9747,0.9681,0.9769,0.9136,0.964,0.9212,0.9256
InceptionNet (Original),0.9887,0.9357,0.9413,0.9507,0.9728,0.968,0.9762,0.9121,0.964,0.9181,0.9245
MobileNet (Original),0.9889,0.9346,0.9357,0.9389,0.976,0.9679,0.9755,0.9106,0.9633,0.9181,0.9225
RegNetX_400MF (Finetuned),0.989,0.9346,0.9364,0.9395,0.9737,0.971,0.9771,0.9103,0.9639,0.9191,0.9225
RegNetX_400MF (Original),0.9888,0.9346,0.9351,0.9385,0.9735,0.9684,0.979,0.9101,0.964,0.9193,0.924
VGG16 (Finetuned),0.9887,0.9361,0.9383,0.9404,0.9729,0.968,0.9768,0.9364,0.9642,0.9231,0.9297
VGG16 (Original),0.9888,0.9355,0.9375,0.9397,0.9737,0.9682,0.9765,0.9144,0.9703,0.9203,0.9262
XceptionNet (Finetuned),0.9889,0.935,0.936,0.9403,0.9741,0.9681,0.9762,0.9131,0.9643,0.9464,0.9389
XceptionNet (Original),0.9888,0.9358,0.9369,0.9401,0.9732,0.9679,0.9764,0.9135,0.964,0.9347,0.9529
