model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
ConvNeXt,tinyimagenet_epochs100_pretrain300,Control_Continuted,PGD,ConvNeXt (Control Continued),27973928,0.0045,0.0008,0.0008,0.9955,0.9992,0.9992,0.0036999999999999997,0.8222222222222222,0.1777777777777778
ConvNeXt,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,PGD,ConvNeXt (Pruned Finetuned),8892008,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,
ConvNeXt,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,PGD,ConvNeXt (Pruned Finetuned Quantized),8892008,0.0023,0.0,0.0,0.9977,1.0,1.0,0.0023,1.0,0.0
