source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.8756,0.272,0.1568,0.1565999999999999,0.2275,0.2644999999999999,0.3053,0.0943,0.1321,0.1368
ConvNeXt (Original),0.8752,0.4342,0.1654999999999999,0.166,0.2375,0.276,0.3178999999999999,0.0969999999999999,0.1401,0.1452
InceptionNet (Finetuned),0.8743,0.2815999999999999,0.3268,0.1841,0.2443999999999999,0.2759,0.3156,0.1055,0.1512,0.1533999999999999
InceptionNet (Original),0.8743,0.2821,0.1889999999999999,0.3284,0.2429,0.277,0.3161,0.1066,0.1509,0.152
MobileNet (Original),0.8749,0.2801,0.1662,0.1654999999999999,0.47,0.2845999999999999,0.3243,0.1004,0.1475999999999999,0.1482
RegNetX_400MF (Finetuned),0.8752,0.2804,0.1634999999999999,0.1642,0.2471,0.4821,0.3748,0.0998,0.1475999999999999,0.1495999999999999
RegNetX_400MF (Original),0.8762,0.2794999999999999,0.1624,0.1629,0.2441999999999999,0.3274,0.5311,0.0983,0.1435999999999999,0.1468
VGG16 (Original),0.8738,0.2732,0.1647999999999999,0.1644999999999999,0.2319,0.2692,0.3083,0.3213,0.1452,0.1493999999999999
XceptionNet (Finetuned),0.8753,0.2794,0.1711,0.17,0.2452999999999999,0.2831,0.3231,0.1085,0.3483,0.1742
XceptionNet (Original),0.8748,0.2784,0.1694999999999999,0.1691,0.2435,0.2848,0.3228999999999999,0.1079,0.1709,0.3499
