source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9892,0.5862,0.43,0.4427999999999999,0.5686,0.6024,0.6444,0.3964,0.4028,0.4054
ConvNeXt (Original),0.99,0.9843,0.6644,0.6812,0.796,0.8304,0.8694999999999999,0.6336999999999999,0.6352,0.6369
InceptionNet (Finetuned),0.9909,0.8461,0.9442,0.798,0.856,0.8774,0.8982,0.7401,0.7377,0.7439
InceptionNet (Original),0.9905,0.8389,0.7642,0.9479,0.8492,0.8725,0.8962,0.729,0.7239,0.729
MobileNet (Original),0.9898,0.8051,0.6774,0.6987,0.9645,0.8506,0.8756,0.6496,0.6471,0.6543
RegNetX_400MF (Finetuned),0.99,0.7957,0.6563,0.6777,0.8076,0.9722,0.8839,0.628,0.6322,0.6354
RegNetX_400MF (Original),0.9895,0.7827,0.6311,0.6538999999999999,0.7829,0.8321000000000001,0.983,0.5994999999999999,0.6046,0.606
VGG16 (Original),0.9902,0.833,0.7472,0.7679,0.8379,0.8639,0.8862,0.9344,0.7229,0.7253000000000001
XceptionNet (Finetuned),0.9904,0.847,0.7709,0.7851,0.8572,0.884,0.9028,0.743,0.9371,0.7657
XceptionNet (Original),0.99,0.8475,0.772,0.7881,0.8608,0.8833,0.9007000000000001,0.7454000000000001,0.7655000000000001,0.932
