source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9865,0.5912,0.431,0.4548999999999999,0.5784,0.6046,0.6497999999999999,0.3264,0.4564,0.4036999999999999,0.4132
ConvNeXt (Original),0.9893,0.9648,0.6619999999999999,0.6890000000000001,0.8023,0.8323,0.87,0.5522,0.6854,0.6276999999999999,0.6355999999999999
InceptionNet (Finetuned),0.988,0.8472,0.9335,0.8008,0.8601,0.88,0.9035,0.6614,0.7819,0.7372000000000001,0.7403
InceptionNet (Original),0.9884,0.8366,0.754,0.9394,0.8491,0.8707,0.8924,0.6412,0.7684,0.7101999999999999,0.7197
MobileNet (Original),0.9884,0.8047,0.6704,0.7022999999999999,0.9614,0.8502000000000001,0.8824,0.5628,0.6964,0.6339,0.6517
RegNetX_400MF (Finetuned),0.9883,0.8003,0.6593,0.6868000000000001,0.8138,0.9734,0.8897,0.5474,0.6805,0.6236999999999999,0.6366
RegNetX_400MF (Original),0.9881,0.7861,0.6306,0.6573,0.7908,0.833,0.9822,0.5178,0.6537,0.5948,0.6093
VGG16 (Finetuned),0.9895,0.852,0.7774,0.7991,0.8647,0.886,0.9052,0.901,0.8276,0.7484,0.7565999999999999
VGG16 (Original),0.9878,0.8206,0.7188,0.749,0.831,0.8512,0.8777,0.6456999999999999,0.9458,0.6889000000000001,0.6959
XceptionNet (Finetuned),0.989,0.8517,0.7735,0.7927,0.8653,0.8848,0.9064,0.6689,0.7888999999999999,0.9287,0.7729
XceptionNet (Original),0.9881,0.8452,0.7658,0.7887,0.8665,0.8857,0.9062,0.6634,0.7839,0.7507,0.9375
