source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.8713,0.4935,0.3400999999999999,0.3802,0.6632,0.6641,0.7314,0.261,0.4828,0.3602999999999999,0.3615
ConvNeXt (Original),0.8703,0.615,0.3487,0.389,0.6612,0.6661,0.7343,0.2648,0.4874,0.3692,0.3693999999999999
InceptionNet (Finetuned),0.8714,0.4999,0.5555,0.4317999999999999,0.6654,0.6634,0.7347,0.2683999999999999,0.4901,0.37,0.369
InceptionNet (Original),0.8707,0.5003,0.3952,0.5788,0.6641,0.6633,0.7345999999999999,0.2684999999999999,0.4911,0.3711,0.3696
MobileNet (Original),0.8701,0.4949,0.3387,0.3799,0.9622,0.6654,0.7363999999999999,0.2596,0.4836,0.3607,0.3617
RegNetX_400MF (Finetuned),0.8703,0.4952,0.3389,0.3797,0.6635,0.8914,0.7464,0.2603,0.4827,0.3617,0.3636
RegNetX_400MF (Original),0.8707,0.4952,0.3394,0.3798,0.6653,0.671,0.9697,0.2593999999999999,0.482,0.3605,0.3624
VGG16 (Finetuned),0.871,0.4986,0.3496,0.3893999999999999,0.6614,0.6635,0.7331,0.4606,0.5157,0.3784999999999999,0.3786
VGG16 (Original),0.8705,0.4982,0.3496,0.3888,0.6652,0.667,0.7337,0.3051,0.6097,0.3776,0.3812
XceptionNet (Finetuned),0.8702,0.498,0.3460999999999999,0.3859,0.6656,0.6664,0.7339,0.2713,0.491,0.6191,0.437
XceptionNet (Original),0.8702,0.4982,0.3467,0.3849,0.6663,0.6674,0.7351,0.2707,0.4915,0.4387,0.6092
