source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9417,0.2542999999999999,0.1526999999999999,0.1493,0.2252999999999999,0.2466,0.0814,0.1347,0.1281
InceptionNet (Finetuned),0.9224,0.6306,0.8076,0.5639000000000001,0.6655,0.6795,0.4142,0.5039,0.492
InceptionNet (Original),0.9208,0.6341,0.5575,0.817,0.6714,0.6885,0.4324,0.517,0.5025
RegNetX_400MF (Finetuned),0.9227,0.6083000000000001,0.4688,0.489,0.8721,0.7038,0.3643999999999999,0.4564,0.4439999999999999
RegNetX_400MF (Original),0.9255,0.6077,0.4603,0.483,0.6938,0.8709,0.3552999999999999,0.4494,0.4374
VGG16 (Original),0.9218,0.6336999999999999,0.5198,0.5466,0.6726,0.6846,0.7997,0.5153,0.5052
XceptionNet (Finetuned),0.924,0.6284000000000001,0.51,0.5347,0.671,0.6860999999999999,0.4152,0.7803,0.503
XceptionNet (Original),0.9233,0.6335999999999999,0.5226999999999999,0.5445,0.6800999999999999,0.6945,0.4325,0.5472,0.7978000000000001
