source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.8713,0.7618,0.6667000000000001,0.7196,0.8318,0.8188,0.8135,0.6331,0.7512,0.6872,0.6760999999999999
ConvNeXt (Original),0.8704000000000001,0.8254,0.6740999999999999,0.7256,0.8321000000000001,0.8210999999999999,0.8169,0.6374,0.7537,0.6937,0.6832
InceptionNet (Finetuned),0.8693,0.7649,0.8446,0.7658,0.8305,0.8183,0.8138,0.6434,0.7585,0.6973,0.6849000000000001
InceptionNet (Original),0.8698,0.7644,0.7187,0.8724000000000001,0.8287,0.8209,0.8142,0.6434,0.7579,0.6975,0.6859
MobileNet (Original),0.869,0.7616,0.6655,0.7185,0.9803,0.8186,0.8143,0.6324000000000001,0.7522,0.6869000000000001,0.6749
RegNetX_400MF (Finetuned),0.8691,0.7613,0.6659999999999999,0.7191000000000001,0.831,0.9392,0.8225,0.6331,0.7523,0.688,0.6753
RegNetX_400MF (Original),0.8691,0.7609,0.6667000000000001,0.7188,0.8302,0.8218,0.9714,0.6327,0.7513,0.6885,0.6760999999999999
VGG16 (Finetuned),0.8696,0.7639,0.6777,0.7268,0.8299,0.8199,0.8135,0.8082,0.774,0.7038,0.6940999999999999
VGG16 (Original),0.8688,0.764,0.6783,0.7294,0.8321000000000001,0.8200000000000001,0.8181,0.6749,0.8452999999999999,0.7033,0.6911
XceptionNet (Finetuned),0.8694,0.7629,0.6722,0.7244999999999999,0.831,0.8204,0.8157,0.6455,0.7593,0.8769,0.7567
XceptionNet (Original),0.869,0.7635000000000001,0.673,0.7237,0.8325,0.8193,0.8146,0.6452,0.7585999999999999,0.7595000000000001,0.8729
