model,dataset,attack,baseline_kind,variant_kind,n_baseline,n_variant,mean_asr_baseline,std_asr_baseline,mean_asr_variant,std_asr_variant,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
ConvNeXt,tinyimagenet_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9991,,1.0,,0.0009000000000000119,,,,False,0.0009000000000000119
InceptionNet,Cifar100_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9531,,0.9418,,-0.011299999999999977,,,,False,0.011299999999999977
InceptionNet,Cifar100_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9531,,0.94,,-0.0131,,,,False,0.0131
InceptionNet,Cifar100_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined,2,2,0.6667000000000001,0.0,0.64,0.0,-0.026700000000000057,-inf,0.0,,True,0.026700000000000057
InceptionNet,Cifar100_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined_quant,2,2,0.6667000000000001,0.0,0.6376,0.0,-0.029100000000000126,-inf,0.0,,True,0.029100000000000126
InceptionNet,Cifar100_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.997,,0.9849,,-0.0121,,,,False,0.0121
InceptionNet,Cifar100_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.997,,0.9783,,-0.01870000000000005,,,,False,0.01870000000000005
InceptionNet,Cifar100_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9379,,0.9337,,-0.0041999999999999815,,,,False,0.0041999999999999815
InceptionNet,Cifar100_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9379,,0.9332,,-0.0046999999999999265,,,,False,0.0046999999999999265
InceptionNet,Cifar100_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.8553,,0.8424,,-0.012899999999999912,,,,False,0.012899999999999912
