source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.991,0.8839,0.8192,0.835,0.8864,0.9109,0.9292,0.8297,0.8035,0.8045
ConvNeXt (Original),0.9913,0.9112,0.8202,0.8362,0.8867,0.9138,0.9303,0.8309,0.8064,0.8076
InceptionNet (Finetuned),0.9907,0.8852,0.8435,0.8451,0.8909,0.9138,0.9303,0.8386,0.8137,0.8148
InceptionNet (Original),0.9904,0.8855999999999999,0.83,0.8556,0.8915,0.9129,0.9295,0.8388,0.812,0.8146
MobileNet (Original),0.9909,0.8849,0.8230999999999999,0.8361000000000001,0.9058,0.9133,0.9305,0.8369,0.81,0.813
RegNetX_400MF (Finetuned),0.9905,0.8855999999999999,0.8213,0.8357,0.8916,0.9231,0.9372,0.8324,0.8091,0.8127
RegNetX_400MF (Original),0.991,0.8863,0.8206,0.8356,0.8906000000000001,0.9182,0.9397,0.8303,0.8077,0.8084
VGG16 (Original),0.9903,0.8842,0.8226,0.8357,0.888,0.9114,0.9302,0.8629,0.8061,0.8097
XceptionNet (Finetuned),0.9906,0.8863,0.8267,0.8398,0.8906000000000001,0.9134,0.932,0.8378,0.8392,0.8238
XceptionNet (Original),0.9911,0.8849,0.8275,0.8407,0.891,0.9139,0.9317,0.8372999999999999,0.8246,0.8425
