source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9884,0.6331,0.4665,0.4927,0.6342,0.6561,0.7115,0.3636,0.4998,0.4397999999999999,0.4500999999999999
ConvNeXt (Original),0.9881,0.784,0.4707,0.4973999999999999,0.6405000000000001,0.6615,0.7171000000000001,0.3666,0.5032,0.4458999999999999,0.4579999999999999
InceptionNet (Finetuned),0.9881,0.6396999999999999,0.6404000000000001,0.5268999999999999,0.6457999999999999,0.6619999999999999,0.7145,0.384,0.5152,0.4635,0.4718
InceptionNet (Original),0.988,0.6393,0.4881,0.7008,0.6429,0.6605,0.7137,0.3754999999999999,0.5142,0.4556,0.4654
MobileNet (Original),0.9882,0.6381,0.4720999999999999,0.5005999999999999,0.8161,0.6642,0.7202999999999999,0.3698,0.5072,0.4523,0.4647
RegNetX_400MF (Finetuned),0.9888,0.6408,0.469,0.4971,0.6455,0.8066,0.737,0.3688,0.5034000000000001,0.4516,0.4639
RegNetX_400MF (Original),0.988,0.64,0.4698,0.4962999999999999,0.641,0.6832,0.8484,0.366,0.5031,0.4469999999999999,0.4578
VGG16 (Finetuned),0.9881,0.6366,0.4704,0.499,0.6373,0.6586000000000001,0.7118,0.7274,0.5516,0.4488,0.4592
VGG16 (Original),0.9884,0.637,0.4714,0.5002,0.6391,0.6579999999999999,0.7128,0.4277999999999999,0.7954,0.4488999999999999,0.4604
XceptionNet (Finetuned),0.9881,0.6405000000000001,0.4815,0.5099,0.6463,0.6656,0.7153,0.3818,0.5179,0.6355,0.5044
XceptionNet (Original),0.9882,0.6393,0.481,0.5084,0.6476,0.6667000000000001,0.7177,0.3834999999999999,0.5186999999999999,0.4879,0.6878
