source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
InceptionNet (Finetuned),0.9185,0.6413,0.9231,0.56,0.6793,0.6923,0.4456,0.5141,0.5013000000000001
InceptionNet (Original),0.9202,0.6397999999999999,0.5368999999999999,0.9164,0.6788000000000001,0.6930000000000001,0.4466,0.5151,0.5004
RegNetX_400MF (Finetuned),0.9216,0.6288,0.5052,0.5306,0.92,0.7009000000000001,0.4263,0.4979,0.483
RegNetX_400MF (Original),0.9197,0.6359,0.5119,0.5368999999999999,0.7029000000000001,0.9367,0.4354,0.5049,0.4918
VGG16 (Original),0.9201,0.6383,0.52,0.544,0.6771,0.6907,0.9781,0.51,0.4987
XceptionNet (Finetuned),0.9202,0.6369,0.5186999999999999,0.5427,0.6807000000000001,0.696,0.4412,0.9517,0.5042
XceptionNet (Original),0.9203,0.6351,0.5198,0.5447,0.6808000000000001,0.6923,0.4465,0.5272,0.9895
