model,dataset,attack,baseline_clean_acc,baseline_robust_accuracy,baseline_attack_success_rate,baseline_relative_accuracy_drop,baseline_robustness_ratio,baseline_param_count,variant_clean_acc,variant_robust_accuracy,variant_attack_success_rate,variant_relative_accuracy_drop,variant_robustness_ratio,variant_param_count,baseline_kind,variant_kind,variant_minus_baseline_attack_success_rate,variant_minus_baseline_robust_accuracy,variant_minus_baseline_relative_accuracy_drop,variant_minus_baseline_robustness_ratio,params_reduction_percent
InceptionNet,Cifar100_epochs100_pretrain300,BIM,0.5658,0.3333,0.6667000000000001,0.4109225874867444,0.5890774125132556,6083332.0,0.5741,0.36,0.64,0.3729315450269989,0.6270684549730011,3901476.0,Control_Continuted,Dynamic_Region_All_Combined,-0.026700000000000057,0.0267,-0.037991042459745494,0.037991042459745494,35.8661338884677
InceptionNet,Cifar100_epochs100_pretrain300,CW,0.5658,0.003,0.997,0.9946977730646872,0.0053022269353128,6083332.0,0.5741,0.0151,0.9849,0.9736979620275212,0.0263020379724786,3901476.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0121,0.0121,-0.020999811037165972,0.020999811037165802,35.8661338884677
InceptionNet,Cifar100_epochs100_pretrain300,DeepFool,0.5658,0.0621,0.9379,0.8902439024390243,0.1097560975609756,6083332.0,0.5741,0.0663,0.9337,0.8845148928758055,0.1154851071241943,3901476.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0041999999999999815,0.004199999999999995,-0.0057290095632187565,0.005729009563218701,35.8661338884677
InceptionNet,Cifar100_epochs100_pretrain300,FGSM,0.5658,0.1447,0.8553,0.7442559208200777,0.2557440791799222,6083332.0,0.5741,0.1576,0.8424,0.7254833652673751,0.2745166347326249,3901476.0,Control_Continuted,Dynamic_Region_All_Combined,-0.012899999999999912,0.012899999999999995,-0.01877255555270263,0.018772555552702685,35.8661338884677
InceptionNet,Cifar100_epochs100_pretrain300,PGD,0.5658,0.0724,0.9276,0.872039589961117,0.127960410038883,6083332.0,0.5741,0.0851,0.9149,0.85176798467166,0.14823201532834,3901476.0,Control_Continuted,Dynamic_Region_All_Combined,-0.012699999999999934,0.012699999999999989,-0.02027160528945693,0.020271605289456984,35.8661338884677
InceptionNet,Cifar10_epochs100_pretrain300,APGD,0.8596,0.1791,0.8209,0.7916472778036295,0.2083527221963704,5991082.0,0.8633,0.1796,0.8204,0.7919610795783621,0.2080389204216379,3809226.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0004999999999999449,0.0005000000000000004,0.00031380177473261384,-0.0003138017747325028,36.41839654339567
InceptionNet,Cifar10_epochs100_pretrain300,BIM,0.8596,0.6798,0.3202,0.2091670544439274,0.7908329455560725,5991082.0,0.8633,0.6801,0.3198999999999999,0.2122089655971272,0.7877910344028728,3809226.0,Control_Continuted,Dynamic_Region_All_Combined,-0.000300000000000078,0.000300000000000078,0.0030419111531997944,-0.003041911153199739,36.41839654339567
InceptionNet,Cifar10_epochs100_pretrain300,CW,0.8596,0.0122,0.9878,0.9858073522568636,0.0141926477431363,5991082.0,0.8633,0.0179,0.9821,0.979265608710761,0.0207343912892389,3809226.0,Control_Continuted,Dynamic_Region_All_Combined,-0.005700000000000038,0.0056999999999999985,-0.006541743546102596,0.0065417435461026015,36.41839654339567
InceptionNet,Cifar10_epochs100_pretrain300,FGSM,0.8596,0.4081,0.5919,0.5252442996742671,0.4747557003257329,5991082.0,0.8633,0.4151,0.5849,0.5191706243484304,0.4808293756515696,3809226.0,Control_Continuted,Dynamic_Region_All_Combined,-0.007000000000000006,0.007000000000000006,-0.0060736753258366916,0.0060736753258366916,36.41839654339567
InceptionNet,Cifar10_epochs100_pretrain300,PGD,0.8596,0.252,0.748,0.7068403908794788,0.2931596091205212,5991082.0,0.8633,0.2537,0.7463,0.7061276497162052,0.2938723502837947,3809226.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0017000000000000348,0.0016999999999999793,-0.0007127411632735781,0.0007127411632735225,36.41839654339567
InceptionNet,tinyimagenet_epochs100_pretrain300,APGD,0.005,0.0006,0.9994,0.88,0.1199999999999999,6185832.0,0.0041,0.0006,0.9994,0.853658536585366,0.1463414634146341,4431352.0,Control_Continuted,Dynamic_Region_All_Combined,0.0,0.0,-0.02634146341463406,0.02634146341463421,28.362878267628343
InceptionNet,tinyimagenet_epochs100_pretrain300,BIM,0.005,0.0023,0.9977,0.54,0.4599999999999999,6185832.0,0.0041,0.0016,0.9984,0.6097560975609757,0.3902439024390244,4431352.0,Control_Continuted,Dynamic_Region_All_Combined,0.0006999999999999229,-0.0006999999999999999,0.06975609756097567,-0.0697560975609755,28.362878267628343
InceptionNet,tinyimagenet_epochs100_pretrain300,CW,0.005,0.0029,0.9971,0.42,0.58,6185832.0,0.0041,0.0026,0.9974,0.3658536585365854,0.6341463414634145,4431352.0,Control_Continuted,Dynamic_Region_All_Combined,0.00029999999999996696,-0.0002999999999999999,-0.05414634146341457,0.05414634146341457,28.362878267628343
InceptionNet,tinyimagenet_epochs100_pretrain300,FGSM,0.005,0.0091,0.9909,-0.8200000000000001,1.82,6185832.0,0.0041,0.0174,0.9826,-3.24390243902439,4.24390243902439,4431352.0,Control_Continuted,Dynamic_Region_All_Combined,-0.008299999999999974,0.008299999999999998,-2.42390243902439,2.4239024390243893,28.362878267628343
InceptionNet,tinyimagenet_epochs100_pretrain300,PGD,0.005,0.0018,0.9982,0.64,0.36,6185832.0,0.0041,0.0033,0.9967,0.1951219512195122,0.8048780487804877,4431352.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0014999999999999458,0.0015,-0.4448780487804878,0.44487804878048776,28.362878267628343
RegNetX_400MF,Cifar100_epochs100_pretrain300,APGD,0.3577,0.0097,0.9903,0.972882303606374,0.0271176963936259,4811012.0,0.3991,0.013,0.987,0.96742671009772,0.0325732899022801,4032260.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0032999999999999696,0.003299999999999999,-0.005455593508653989,0.005455593508654204,16.18686463471719
RegNetX_400MF,Cifar100_epochs100_pretrain300,BIM,0.3577,0.1826,0.8174,0.4895163544870002,0.5104836455129997,4811012.0,0.3991,0.1932,0.8068,0.5159107992984214,0.4840892007015785,4032260.0,Control_Continuted,Dynamic_Region_All_Combined,-0.010600000000000054,0.010599999999999998,0.026394444811421225,-0.026394444811421225,16.18686463471719
RegNetX_400MF,Cifar100_epochs100_pretrain300,CW,0.3577,0.0011,0.9989,0.9969247973161868,0.0030752026838132,4811012.0,0.3991,0.0013,0.9987,0.996742671009772,0.003257328990228,4032260.0,Control_Continuted,Dynamic_Region_All_Combined,-0.00019999999999997797,0.00019999999999999987,-0.0001821263064147871,0.00018212630641480012,16.18686463471719
RegNetX_400MF,Cifar100_epochs100_pretrain300,DeepFool,0.3577,0.0202,0.9798,0.9435280961699748,0.0564719038300251,4811012.0,0.3991,0.0274,0.9726,0.9313455274367328,0.0686544725632673,4032260.0,Control_Continuted,Dynamic_Region_All_Combined,-0.007199999999999984,0.0072000000000000015,-0.012182568733241972,0.0121825687332422,16.18686463471719
