source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9436,0.2607,0.1578,0.1553999999999999,0.2314,0.2507,0.0855,0.1408,0.1321
ConvNeXt (Original),0.9288,0.8568,0.4484,0.4628,0.5871,0.6153,0.3305,0.4283,0.414
InceptionNet (Finetuned),0.9252,0.5982000000000001,0.8331999999999999,0.5628,0.6228,0.6377999999999999,0.3947,0.4965,0.4818
InceptionNet (Original),0.9243,0.5956,0.5442,0.8206,0.6258,0.6416,0.3954,0.4957,0.4842999999999999
RegNetX_400MF (Finetuned),0.9246,0.6024,0.4744,0.4956,0.9326,0.743,0.3697,0.471,0.4559999999999999
RegNetX_400MF (Original),0.9264,0.6047,0.4595,0.4834,0.7261,0.9155,0.3542999999999999,0.4574,0.4454
VGG16 (Original),0.924,0.598,0.505,0.5268999999999999,0.64,0.6495,0.8786,0.5081,0.4992999999999999
XceptionNet (Finetuned),0.9249,0.6062000000000001,0.5174000000000001,0.5365,0.6526000000000001,0.661,0.4231,0.8799,0.5378000000000001
XceptionNet (Original),0.9289,0.5988,0.5162,0.5342,0.6428,0.6575,0.4322,0.5589,0.8377
