source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9256,0.2826999999999999,0.1635999999999999,0.1706999999999999,0.2601,0.2547,0.3234,0.1088,0.1030999999999999,0.1409,0.1562
InceptionNet (Finetuned),0.9187,0.6405000000000001,0.8313,0.5682,0.6628000000000001,0.6648000000000001,0.7162999999999999,0.4891,0.4815,0.4992,0.5176000000000001
InceptionNet (Original),0.9182,0.6369,0.5483,0.8245,0.6549,0.6531,0.7115,0.4670999999999999,0.4612,0.4883999999999999,0.5078
MobileNet (Original),0.9212,0.6129,0.4781999999999999,0.4834,0.8533999999999999,0.6292,0.7016,0.4065,0.3981,0.4335,0.4548
RegNetX_400MF (Finetuned),0.9203,0.6209,0.4875,0.4905,0.6427,0.8613,0.7313000000000001,0.4166999999999999,0.4075999999999999,0.4397999999999999,0.47
RegNetX_400MF (Original),0.9224,0.5903,0.4451,0.4484,0.5937,0.6029,0.8973,0.3711,0.3636,0.3968,0.4199
VGG16 (Finetuned),0.9158,0.6344000000000001,0.5267,0.5238,0.6448,0.6485000000000001,0.7079,0.8068,0.4952,0.481,0.4986
VGG16 (Original),0.9157,0.6354,0.5376000000000001,0.5386,0.649,0.6564,0.7137,0.5717,0.7988999999999999,0.4972,0.5186999999999999
XceptionNet (Finetuned),0.9166,0.6393,0.5375,0.5435,0.6659999999999999,0.6628000000000001,0.7196,0.4838,0.4744,0.8043,0.5454
XceptionNet (Original),0.9187,0.6315,0.5235000000000001,0.5258,0.657,0.6607000000000001,0.7152000000000001,0.4668,0.4587,0.5,0.7948
