source_model,source_kind,source_label,target_model,target_kind,target_label,dataset,layer,cka,same_architecture,same_kind,pair_type
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stem.stem_conv,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage2.stage2_block1.block.conv1,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage3.stage3_block1.block.conv3,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage3.stage3_block4.block.conv3,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage4.stage4_block0.block.conv3,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage4.stage4_block3.block.conv2,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage4.stage4_block6.block.conv2,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage4.stage4_block9.block.conv2,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined,InceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage1.conv1.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined,InceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage3.inception_3a.branch3.1.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined,InceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage3.inception_3b.branch4.1.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined,InceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage4.inception_4b.branch1.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined,InceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage4.inception_4c.branch2.0.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined,InceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage4.inception_4d.branch2.1.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined,InceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage4.inception_4e.branch3.0.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined,InceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage5.inception_5a.branch3.1.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined_quant,InceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage1.conv1.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined_quant,InceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage3.inception_3a.branch3.1.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined_quant,InceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage3.inception_3b.branch4.1.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined_quant,InceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage4.inception_4b.branch1.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined_quant,InceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage4.inception_4c.branch2.0.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined_quant,InceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage4.inception_4d.branch2.1.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined_quant,InceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage4.inception_4e.branch3.0.conv,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),InceptionNet,Dynamic_Region_All_Combined_quant,InceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stage5.inception_5a.branch3.1.conv,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined,XceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,stem.0,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined,XceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,block2.rep.1.pointwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined,XceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,middle_flow.0.rep.1.pointwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined,XceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,middle_flow.1.rep.7.depthwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined,XceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,middle_flow.3.rep.1.pointwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined,XceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,middle_flow.4.rep.7.depthwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined,XceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,middle_flow.6.rep.1.pointwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined,XceptionNet (Pruned Finetuned),Cifar10_epochs100_pretrain300,middle_flow.7.rep.7.depthwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined_quant,XceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stem.0,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined_quant,XceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,block2.rep.1.pointwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined_quant,XceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,middle_flow.0.rep.1.pointwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined_quant,XceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,middle_flow.1.rep.7.depthwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined_quant,XceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,middle_flow.3.rep.1.pointwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined_quant,XceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,middle_flow.4.rep.7.depthwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined_quant,XceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,middle_flow.6.rep.1.pointwise,,True,False,same_arch_cross_kind
XceptionNet,Control_Continuted,XceptionNet (Control Continued),XceptionNet,Dynamic_Region_All_Combined_quant,XceptionNet (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,middle_flow.7.rep.7.depthwise,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),Cifar10_epochs100_pretrain300,stem.0,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.0.2.dwconv,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.2.1.dwconv,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.4.0.dwconv,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.4.2.pwconv1,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.4.4.pwconv2,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.4.7.dwconv,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.6.0.dwconv,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined_quant,ConvNeXt (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,stem.0,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined_quant,ConvNeXt (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.0.2.dwconv,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined_quant,ConvNeXt (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.2.1.dwconv,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined_quant,ConvNeXt (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.4.0.dwconv,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined_quant,ConvNeXt (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.4.2.pwconv1,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined_quant,ConvNeXt (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.4.4.pwconv2,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined_quant,ConvNeXt (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.4.7.dwconv,,True,False,same_arch_cross_kind
ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),ConvNeXt,Dynamic_Region_All_Combined_quant,ConvNeXt (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.6.0.dwconv,,True,False,same_arch_cross_kind
