source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9509,0.266,0.163,0.1592,0.2488,0.2661,0.0897,0.142,0.1319
ConvNeXt (Original),0.9424,0.4274,0.1749,0.1686999999999999,0.2643,0.2804,0.0937,0.1513,0.1397
InceptionNet (Finetuned),0.9419,0.2768,0.3524,0.1846,0.2633999999999999,0.2778,0.1004,0.1595999999999999,0.1472
InceptionNet (Original),0.9414,0.2772,0.1967999999999999,0.3201,0.2667,0.2799,0.1014,0.1599,0.1484999999999999
RegNetX_400MF (Finetuned),0.9421,0.2734999999999999,0.1726999999999999,0.1673,0.4891999999999999,0.3455,0.0968999999999999,0.1604999999999999,0.1455999999999999
RegNetX_400MF (Original),0.9422,0.275,0.1717999999999999,0.1655999999999999,0.3398,0.4834,0.0950999999999999,0.1595999999999999,0.1442999999999999
VGG16 (Original),0.9416,0.269,0.1741,0.1695999999999999,0.2613999999999999,0.2735999999999999,0.3239999999999999,0.1583,0.1454999999999999
XceptionNet (Finetuned),0.9418,0.2711,0.1776999999999999,0.1704999999999999,0.2723,0.284,0.1011999999999999,0.3864999999999999,0.1618
XceptionNet (Original),0.9419,0.2751,0.1796999999999999,0.1742,0.2718,0.285,0.1058,0.1815,0.3259999999999999
